Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,EG.ELC.ACCS.ZS,Access to electricity (% of total population),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADO,Andorra,EG.ELC.ACCS.ZS,Access to electricity (% of total population),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,EG.ELC.ACCS.ZS,Access to electricity (% of total population),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6,0,0
AGO,Angola,EG.ELC.ACCS.ZS,Access to electricity (% of total population),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.2,0,0
ALB,Albania,EG.ELC.ACCS.ZS,Access to electricity (% of total population),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,United Arab Emirates,EG.ELC.ACCS.ZS,Access to electricity (% of total population),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
ARG,Argentina,EG.ELC.ACCS.ZS,Access to electricity (% of total population),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.2,0,0
ARM,Armenia,EG.ELC.ACCS.ZS,Access to electricity (% of total population),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASM,American Samoa,EG.ELC.ACCS.ZS,Access to electricity (% of total population),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,EG.ELC.ACCS.ZS,Access to electricity (% of total population),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,EG.ELC.ACCS.ZS,Access to electricity (% of total population),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,Austria,EG.ELC.ACCS.ZS,Access to electricity (% of total population),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZE,Azerbaijan,EG.ELC.ACCS.ZS,Access to electricity (% of total population),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDI,Burundi,EG.ELC.ACCS.ZS,Access to electricity (% of total population),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEL,Belgium,EG.ELC.ACCS.ZS,Access to electricity (% of total population),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEN,Benin,EG.ELC.ACCS.ZS,Access to electricity (% of total population),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8,0,0
BFA,Burkina Faso,EG.ELC.ACCS.ZS,Access to electricity (% of total population),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0
BGD,Bangladesh,EG.ELC.ACCS.ZS,Access to electricity (% of total population),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0
BGR,Bulgaria,EG.ELC.ACCS.ZS,Access to electricity (% of total population),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHR,Bahrain,EG.ELC.ACCS.ZS,Access to electricity (% of total population),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.4,0,0
BHS,"Bahamas, The",EG.ELC.ACCS.ZS,Access to electricity (% of total population),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIH,Bosnia and Herzegovina,EG.ELC.ACCS.ZS,Access to electricity (% of total population),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLR,Belarus,EG.ELC.ACCS.ZS,Access to electricity (% of total population),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLZ,Belize,EG.ELC.ACCS.ZS,Access to electricity (% of total population),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMU,Bermuda,EG.ELC.ACCS.ZS,Access to electricity (% of total population),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOL,Bolivia,EG.ELC.ACCS.ZS,Access to electricity (% of total population),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.5,0,0
BRA,Brazil,EG.ELC.ACCS.ZS,Access to electricity (% of total population),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.3,0,0
BRB,Barbados,EG.ELC.ACCS.ZS,Access to electricity (% of total population),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN,Brunei Darussalam,EG.ELC.ACCS.ZS,Access to electricity (% of total population),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.7,0,0
BTN,Bhutan,EG.ELC.ACCS.ZS,Access to electricity (% of total population),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,Botswana,EG.ELC.ACCS.ZS,Access to electricity (% of total population),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.4,0,0
CAF,Central African Republic,EG.ELC.ACCS.ZS,Access to electricity (% of total population),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAN,Canada,EG.ELC.ACCS.ZS,Access to electricity (% of total population),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHE,Switzerland,EG.ELC.ACCS.ZS,Access to electricity (% of total population),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHI,Channel Islands,EG.ELC.ACCS.ZS,Access to electricity (% of total population),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
