Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,SH.STA.ACSN,Access to improved sanitation (% of total pop.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADO,Andorra,SH.STA.ACSN,Access to improved sanitation (% of total pop.),0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,100,0,0,0
AFG,Afghanistan,SH.STA.ACSN,Access to improved sanitation (% of total pop.),0,0,0,0,0,0,0,29,0,0,0,0,32,0,0,0,0,35,0,0,37,0,0,0
AGO,Angola,SH.STA.ACSN,Access to improved sanitation (% of total pop.),0,0,25,0,0,0,0,30,0,0,0,0,40,0,0,0,0,50,0,0,57,0,0,0
ALB,Albania,SH.STA.ACSN,Access to improved sanitation (% of total pop.),0,0,0,0,0,0,0,87,0,0,0,0,90,0,0,0,0,96,0,0,98,0,0,0
ARE,United Arab Emirates,SH.STA.ACSN,Access to improved sanitation (% of total pop.),0,0,97,0,0,0,0,97,0,0,0,0,97,0,0,0,0,97,0,0,97,0,0,0
ARG,Argentina,SH.STA.ACSN,Access to improved sanitation (% of total pop.),0,0,90,0,0,0,0,91,0,0,0,0,91,0,0,0,0,90,0,0,90,0,0,0
ARM,Armenia,SH.STA.ACSN,Access to improved sanitation (% of total pop.),0,0,0,0,0,0,0,88,0,0,0,0,89,0,0,0,0,89,0,0,90,0,0,0
ASM,American Samoa,SH.STA.ACSN,Access to improved sanitation (% of total pop.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,SH.STA.ACSN,Access to improved sanitation (% of total pop.),0,0,0,0,0,0,0,95,0,0,0,0,95,0,95,0,95,0,0,0,0,0,0,0
AUS,Australia,SH.STA.ACSN,Access to improved sanitation (% of total pop.),0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,100,0,0,0
AUT,Austria,SH.STA.ACSN,Access to improved sanitation (% of total pop.),0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,100,0,0,0
AZE,Azerbaijan,SH.STA.ACSN,Access to improved sanitation (% of total pop.),0,0,0,0,0,0,0,44,0,0,0,0,44,0,0,0,0,45,0,0,45,0,0,0
BDI,Burundi,SH.STA.ACSN,Access to improved sanitation (% of total pop.),0,0,44,0,0,0,0,45,0,0,0,0,45,0,0,0,0,46,0,0,46,0,0,0
BEL,Belgium,SH.STA.ACSN,Access to improved sanitation (% of total pop.),0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,100,0,0,0
BEN,Benin,SH.STA.ACSN,Access to improved sanitation (% of total pop.),0,0,5,0,0,0,0,8,0,0,0,0,9,0,0,0,0,11,0,0,12,0,0,0
BFA,Burkina Faso,SH.STA.ACSN,Access to improved sanitation (% of total pop.),0,0,6,0,0,0,0,7,0,0,0,0,8,0,0,0,0,11,0,0,11,0,0,0
BGD,Bangladesh,SH.STA.ACSN,Access to improved sanitation (% of total pop.),0,0,39,0,0,0,0,42,0,0,0,0,46,0,0,0,0,50,0,0,53,0,0,0
BGR,Bulgaria,SH.STA.ACSN,Access to improved sanitation (% of total pop.),0,0,99,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,100,0,0,0
