Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,SH.H2O.SAFE.ZS,Access to improved water source (% of total pop.),0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,100,0,0,0
ADO,Andorra,SH.H2O.SAFE.ZS,Access to improved water source (% of total pop.),0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,100,0,0,0
AFG,Afghanistan,SH.H2O.SAFE.ZS,Access to improved water source (% of total pop.),0,0,0,0,0,0,0,3,0,0,0,0,21,0,0,0,0,41,0,0,48,0,0,0
AGO,Angola,SH.H2O.SAFE.ZS,Access to improved water source (% of total pop.),0,0,36,0,0,0,0,36,0,0,0,0,41,0,0,0,0,47,0,0,50,0,0,0
ALB,Albania,SH.H2O.SAFE.ZS,Access to improved water source (% of total pop.),0,0,0,0,0,0,0,96,0,0,0,0,97,0,0,0,0,97,0,0,97,0,0,0
ARE,United Arab Emirates,SH.H2O.SAFE.ZS,Access to improved water source (% of total pop.),0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,100,0,0,0
ARG,Argentina,SH.H2O.SAFE.ZS,Access to improved water source (% of total pop.),0,0,94,0,0,0,0,95,0,0,0,0,96,0,0,0,0,96,0,0,97,0,0,0
ARM,Armenia,SH.H2O.SAFE.ZS,Access to improved water source (% of total pop.),0,0,0,0,0,0,0,92,0,0,0,0,93,0,0,0,0,95,0,0,96,0,0,0
ASM,American Samoa,SH.H2O.SAFE.ZS,Access to improved water source (% of total pop.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,SH.H2O.SAFE.ZS,Access to improved water source (% of total pop.),0,0,0,0,0,0,0,91,0,0,0,0,91,0,91,0,91,0,0,0,0,0,0,0
AUS,Australia,SH.H2O.SAFE.ZS,Access to improved water source (% of total pop.),0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,100,0,0,0
