Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADO,Andorra,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),0,1,0,0,0,0,0,0,0,0,0,0,0,5.6684237014277,4.62214923317352,7.25929833816935,5.50236079238216,5.84014771828014,6.08546557636508,5.94038512265893,5.77947771036666,4.84304932735426,0,0
AGO,Angola,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.426273458445,9.99153259949196,16.7774086378738,0,0
ARE,United Arab Emirates,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG,Argentina,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.05130133428436,0,0,0,0,0,0,0,0,0
ARM,Armenia,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7129840546697,8.79497430039977,8.8723526044648,0,0,0
ASM,American Samoa,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),0,1,0,0,0,0,0,0,0,0,0,0,0,0.549923195084485,0.569351230425056,0.541069397042093,0.545772647747154,0.540268539298078,0.585388285336552,0.451993070849855,0.443578535687583,0.430531820482166,0,0
AUT,Austria,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00710900473934,0,1.22586576769844,0,1.35802469135802,0,0,0,0
AZE,Azerbaijan,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),0,1,0,0,0,0,0,0,0,0,0,0,0,29.9894625922023,29.995784148398,29.9326882625158,30.0378628523349,30.0546448087432,30.0252312867956,30.0462573591253,30.0462573591253,29.5143998318268,0,0
BDI,Burundi,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEL,Belgium,AG.LND.IRIG.AG.ZS,Agricultural land under irrigation (% of total ag. land),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0717360114777618,0,0.216606498194946,0,0.364963503649635,0,0,0,0
