Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,ER.H2O.FWTL.ZS,Annual freshwater withdrawals (% of internal resources),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADO,Andorra,ER.H2O.FWTL.ZS,Annual freshwater withdrawals (% of internal resources),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,ER.H2O.FWTL.ZS,Annual freshwater withdrawals (% of internal resources),0,1,0,0,0,0,0,0,0,0,0,0,42.0363636363636,0,0,0,0,0,0,0,0,0,0,0
AGO,Angola,ER.H2O.FWTL.ZS,Annual freshwater withdrawals (% of internal resources),0,1,0,0,0,0,0,0,0,0,0,0,0.432702702702703,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,ER.H2O.FWTL.ZS,Annual freshwater withdrawals (% of internal resources),0,1,4.46096654275093,0,0,0,0,0,0,0,0,0,6.83271375464684,0,0,0,0,0,0,0,0,0,0,0
ARE,United Arab Emirates,ER.H2O.FWTL.ZS,Annual freshwater withdrawals (% of internal resources),0,1,0,0,0,0,0,1148.66666666667,0,0,0,0,1679.33333333333,0,0,0,0,2032,0,0,0,0,0,0
ARG,Argentina,ER.H2O.FWTL.ZS,Annual freshwater withdrawals (% of internal resources),0,1,0,0,0,0,0,10.3550724637681,0,0,0,0,11.8007246376812,0,0,0,0,0,0,0,0,0,0,0
ARM,Armenia,ER.H2O.FWTL.ZS,Annual freshwater withdrawals (% of internal resources),0,1,0,0,0,0,0,42.6447003936434,0,0,0,0,0,0,25.2660737716868,0,0,0,41.215920688147,0,0,0,0,0
ASM,American Samoa,ER.H2O.FWTL.ZS,Annual freshwater withdrawals (% of internal resources),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,ER.H2O.FWTL.ZS,Annual freshwater withdrawals (% of internal resources),0,1,0,0,3.2692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,ER.H2O.FWTL.ZS,Annual freshwater withdrawals (% of internal resources),0,1,0,0,0,0,0,0,0,0,0,0,4.85772357723577,0,0,0,0,0,0,0,0,0,0,0
AUT,Austria,ER.H2O.FWTL.ZS,Annual freshwater withdrawals (% of internal resources),0,1,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0
