Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,EN.CLC.HPPT.MM,"Average annual precipitation (1961-1990, mm)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADO,Andorra,EN.CLC.HPPT.MM,"Average annual precipitation (1961-1990, mm)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,973
AFG,Afghanistan,EN.CLC.HPPT.MM,"Average annual precipitation (1961-1990, mm)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327
AGO,Angola,EN.CLC.HPPT.MM,"Average annual precipitation (1961-1990, mm)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010
ALB,Albania,EN.CLC.HPPT.MM,"Average annual precipitation (1961-1990, mm)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996
ARE,United Arab Emirates,EN.CLC.HPPT.MM,"Average annual precipitation (1961-1990, mm)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
ARG,Argentina,EN.CLC.HPPT.MM,"Average annual precipitation (1961-1990, mm)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591
ARM,Armenia,EN.CLC.HPPT.MM,"Average annual precipitation (1961-1990, mm)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562
ASM,American Samoa,EN.CLC.HPPT.MM,"Average annual precipitation (1961-1990, mm)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,EN.CLC.HPPT.MM,"Average annual precipitation (1961-1990, mm)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2420
AUS,Australia,EN.CLC.HPPT.MM,"Average annual precipitation (1961-1990, mm)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535
AUT,Austria,EN.CLC.HPPT.MM,"Average annual precipitation (1961-1990, mm)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110
AZE,Azerbaijan,EN.CLC.HPPT.MM,"Average annual precipitation (1961-1990, mm)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447
BDI,Burundi,EN.CLC.HPPT.MM,"Average annual precipitation (1961-1990, mm)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1218
BEL,Belgium,EN.CLC.HPPT.MM,"Average annual precipitation (1961-1990, mm)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,847
BEN,Benin,EN.CLC.HPPT.MM,"Average annual precipitation (1961-1990, mm)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1039
BFA,Burkina Faso,EN.CLC.HPPT.MM,"Average annual precipitation (1961-1990, mm)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748
BGD,Bangladesh,EN.CLC.HPPT.MM,"Average annual precipitation (1961-1990, mm)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2665
BGR,Bulgaria,EN.CLC.HPPT.MM,"Average annual precipitation (1961-1990, mm)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608
BHR,Bahrain,EN.CLC.HPPT.MM,"Average annual precipitation (1961-1990, mm)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
BHS,"Bahamas, The",EN.CLC.HPPT.MM,"Average annual precipitation (1961-1990, mm)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1292
BIH,Bosnia and Herzegovina,EN.CLC.HPPT.MM,"Average annual precipitation (1961-1990, mm)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028
BLR,Belarus,EN.CLC.HPPT.MM,"Average annual precipitation (1961-1990, mm)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618
BLZ,Belize,EN.CLC.HPPT.MM,"Average annual precipitation (1961-1990, mm)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2191
