Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADO,Andorra,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,23.0133016632203,32.6613350883705,36.0385147240044,31.3064576152371,28.0091535394012,25.8667465997096,28.4799769138299,0,0,0
AGO,Angola,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,130.244397950018,129.971142081192,141.24482329234002,246.261769462655,159.575256295082,409.10654312834697,350.504956641141,228.559162648048,211.87101300112,257.119866271484,260.097539059797,257.213917022246,292.379043376555,202.552333946477,377.69828928084297,319.197390008659,312.92301392058096,288.085886031741,245.28966708102402,0,0,0
ALB,Albania,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,581.597640591472,438.081413957829,283.76536330132103,254.13746839441797,193.1635279262,184.42582764223002,163.39825418083302,139.28055327354798,140.31767112308398,217.564138414367,205.247311836736,204.592430277844,230.87340692476,249.80961638415698,220.165856429223,239.838332915538,210.0348595595,210.020079095668,181.759714799981,0,0,0
ARE,United Arab Emirates,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,547.41916971394,598.807980274804,594.636181917673,680.992756645214,703.211548156894,629.26986755144,344.506623819757,327.618597750065,614.8553359146231,569.2222941483101,778.7094278968481,689.3129647985,558.914546878951,630.206805857099,609.656842691812,577.182129141122,563.705665370973,597.210679585719,638.5877595565789,0,0,0
ARG,Argentina,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,462.560559701143,426.614517117445,395.5218800236,364.733889353363,358.39743050185405,366.49153863220005,366.200925766594,353.039719448941,347.513280894518,380.106500750897,371.512382998446,386.980372555108,406.26893907844504,404.365252959833,403.837967128447,379.249612507937,386.178946395984,372.025788739014,364.881581650156,0,0,0
ARM,Armenia,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,0,0,688.366617226266,600.672878530822,577.030996843268,635.199095743292,448.113964177089,545.340133170729,528.136196071154,458.982310891644,491.095264063655,458.03694539594704,343.094234258979,343.58664720792,330.558837878068,346.276766590225,307.961597993021,312.68579019307305,320.921963367334,0,0,0
ASM,American Samoa,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,381.958736490062,365.20548275612305,362.133921761422,360.793480472736,343.361982658712,370.97563545808896,347.552144977681,346.42421805801297,328.19306601308,329.05671551107,320.842492473875,313.900147817672,322.460720002992,328.597878280735,321.485089202651,311.342449946804,284.666637151191,267.730113318103,274.006431694591,0,0,0
AUS,Australia,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,702.166333842962,689.948873376794,717.4430326229871,707.788328022605,685.756101346688,666.3996541583759,685.073940481701,668.097500448129,665.239585821222,593.593241460728,578.196738458524,558.808573251361,565.5946934953399,556.425610787756,538.5411161916641,550.914913118671,549.038355568622,533.903510765309,539.580710786929,0,0,0
AUT,Austria,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,308.038114425169,322.18664831536796,290.505121028905,278.340705237235,269.381297851384,276.56230804210105,272.46067747980203,268.119701033735,268.048714106161,252.066217097192,243.317370813598,249.29864420162102,250.96782095116598,276.495212985298,268.895829865798,270.686982387913,253.350108510673,233.003361945776,224.44984683555398,0,0,0
AZE,Azerbaijan,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,0,0,1688.72422792521,2151.88340516416,2623.9567984096598,2357.5095688779,2187.24895701885,1962.63098080368,1881.14943828199,1624.27703815874,1524.20810980674,1336.6230246998,1231.8533202415501,1150.42520106747,1080.7967326775301,914.151057378983,774.7587861910071,665.560529061863,670.413582843669,0,0,0
BDI,Burundi,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,110.689070897026,119.392841755718,109.396977768141,123.383276875527,129.691587241615,137.817681200392,148.15565346435,143.85830480116198,130.947227548374,129.056867087706,133.426573112601,94.0681860540503,91.5899951660258,69.5435198702649,64.8628596669826,65.7453077983199,75.0481515890454,67.074159236518,62.902132007240596,0,0,0
BEL,Belgium,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,434.01882459234696,461.997091532267,442.628862095832,425.634549041929,428.91691623775904,417.706321472264,436.150674645172,408.71040153527497,410.940505492252,385.754542377363,371.63265787981,365.71884170153004,338.042654644068,358.192203039413,336.233267741526,318.189913380129,308.979874515797,288.158603856458,291.834305670516,0,0,0
BEN,Benin,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,134.11709541208398,148.428714736837,155.966536414136,188.482679296504,201.625826744093,202.248942015552,182.620374758659,165.560265429555,157.892106610829,194.09164712084302,189.911020838973,194.401952008796,219.782959087731,239.108024719053,239.612530000109,249.238105639922,347.84569778003197,345.955043656759,345.03474359224504,0,0,0
BFA,Burkina Faso,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,92.4657436605229,90.6049120897988,90.92317735810549,87.3703307688527,88.757846662273,81.57328308847569,82.933210696958,88.9184354653828,88.5127895630006,89.073948224152,97.78832211752719,87.8178122039247,84.4927742228243,83.9100582982351,82.1026919255889,78.73720288912959,90.1868352978102,105.358002416301,113.079117908166,0,0,0
BGD,Bangladesh,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,197.509809352745,196.135681928746,207.90321357754198,194.988856523795,204.148470082856,234.020802404082,235.581802471986,233.158243972621,212.53077196717098,212.709238375794,221.72404642888299,245.26149061362702,243.94171780785,232.61784207685,257.14612776821997,229.971191594397,267.176328325891,252.579275656106,235.810637204995,0,0,0
BGR,Bulgaria,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,1183.1216714336902,992.61852960576,961.000908788333,1261.6582985345399,998.199595750733,1039.1960782573099,1082.88346470968,1042.5323561724201,944.419319861527,798.875707872465,747.8608475599881,766.260271356032,703.542172752807,706.768207094782,654.800984108863,630.4210197590891,604.661053998089,612.932411654688,552.214105211701,0,0,0
BHR,Bahrain,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,1346.33595950834,1171.56664089231,1010.9413637139899,1280.54577295844,1293.39344216846,1307.0086862017001,1224.09058981203,1316.41472398467,1334.97192110382,1253.15784104058,1231.25447346162,879.357668832306,941.6563885167079,921.500338363485,915.3804439751509,914.036156525857,929.956573853685,913.410251615602,899.173966116825,0,0,0
BHS,"Bahamas, The",EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,322.58756492671796,307.555980303731,321.76381498152,307.000768860502,298.264649191227,287.58010859690097,281.077902247596,262.154230155841,257.76588457488805,241.16994694043,231.67141877082702,225.800603090474,254.86306968064198,231.852400818256,246.905527990059,250.551819512988,261.58749091960595,259.303320712239,263.61531406371,0,0,0
BIH,Bosnia and Herzegovina,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,0,0,0,0,803.604508314503,649.10859213662,520.615143679965,902.063562030433,1012.89772214727,1069.12108533792,1255.29864154966,1071.55412948347,1126.74746793306,1098.47523643786,1096.35628882635,1086.4245961661202,1096.3209009750801,1082.86426388966,1108.2742679731298,0,0,0
BLR,Belarus,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,0,0,1472.0046727290498,1355.69938107912,1359.28767367458,1429.70974021753,1346.84491201888,1196.19351103045,1067.87427853511,1000.8708967900599,906.166464497828,851.155747573942,807.1116050662611,773.16309860555,751.83556694244,707.1659699327149,669.9264724827781,594.569439109804,556.91614753375,0,0,0
BLZ,Belize,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,394.445291289843,411.569574203738,363.60702536731895,363.295689197552,359.201231977431,360.401941011891,289.779878793406,353.154628323244,324.362148709596,484.174729899695,491.008156966613,482.747974554657,232.031669878413,220.910494516718,215.29431166240101,217.00400399688698,213.11552569918499,220.03367572376,212.042509391724,0,0,0
BMU,Bermuda,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOL,Bolivia,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,268.90311408928005,268.213774682319,303.550001822876,351.978832976673,372.64271100040804,376.653210918498,334.511197336492,359.12989224203403,358.749246241807,337.94231406064404,321.259575950831,293.059708031294,270.27705902012,363.265967585216,321.632932216321,298.342340398843,289.45267124827,345.294615245385,319.811443479334,0,0,0
BRA,Brazil,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,194.548021869716,201.231976665919,203.44353794032799,203.21161129679598,202.46492525972002,220.653171239232,236.139001686932,243.56188825479398,238.021670444264,243.517542085277,239.299495675699,243.193974661765,233.614852946971,223.772176110069,222.379004046509,221.128592975773,214.27960425455,211.043520748119,214.21866193542598,0,0,0
BRB,Barbados,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,257.22212542987,297.489254599042,254.077445959837,286.45530203786103,184.878022579538,201.808631465939,203.435346910181,202.74653048410198,246.19340059417698,254.63241167493499,244.353822472536,264.509881404228,275.879748226434,279.329573635927,274.85018671824,278.44659655008303,272.888908950997,267.234480672005,267.47919874130497,0,0,0
BRN,Brunei Darussalam,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,505.36958869750106,443.786408868815,423.093534450132,405.831207981966,380.805001294559,371.647032847206,366.533362300138,386.3891526014,400.08123620575395,298.31046081393,411.707799041219,380.45136947211597,314.471258848263,307.702975432706,306.36851524570403,291.826187771413,262.93707505748597,520.475041745274,588.1741694107741,0,0,0
BTN,Bhutan,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,136.856166734828,190.111072312729,215.444787464231,180.47063775083498,198.280457916262,219.231638769858,251.98369873006698,311.093699656182,286.495411560249,268.08790387182404,258.843153968902,250.817246039593,285.30831678427796,238.366796891863,219.140008457669,297.264950755971,172.011171519858,200.404272892109,242.359640089995,0,0,0
BWA,Botswana,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,226.779136984657,208.19612954581402,310.346828984529,324.157989973436,312.809523393908,300.867242538816,253.89733910781098,235.844906575394,254.44176312027201,224.098061966344,255.195704255619,249.959103777768,237.343746152236,212.372915943289,205.56225372422298,209.016103101445,195.905697615469,194.47029234381398,197.268728949169,0,0,0
CAF,Central African Republic,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,82.27860902765529,85.7999469236133,96.6021884162135,99.5432239359901,99.5603367338189,92.8734464382702,96.7431747345915,96.1804449311592,93.233982505901,95.28796488476381,94.4393051147425,86.45154720785341,86.9581558641396,89.89665269924619,89.0065868309369,86.9204949520867,88.9720865959462,87.05930533666529,87.82623868859379,0,0,0
CAN,Canada,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,601.1268159713001,612.5764624061279,632.408534108649,631.529924922572,573.0411449419161,563.8857698201159,564.670206940863,559.549497625318,532.683025560037,503.6940640706969,538.275651413988,518.734503799238,498.928775327389,519.4154169138931,505.872606366199,497.170062759575,471.41291008365,457.45483622731297,455.029040256979,0,0,0
CHE,Switzerland,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,191.55997433183398,190.616973138534,194.812857247014,184.80043495326302,184.617316900303,174.73284526500697,176.454560489281,179.58153519664998,176.369100824616,169.04523882850302,156.758935659384,170.454879580082,160.903663718332,159.134403387061,155.981422538921,155.46833800241,151.843549885204,133.008333054979,138.67759755811602,0,0,0
CHI,Channel Islands,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHL,Chile,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,401.934231514106,351.887597984903,324.101874089509,322.21326308590795,337.217550839764,331.13371284754,350.09014971334403,378.316158417362,378.888697767037,402.751179555025,372.250800128059,323.681460302307,328.804774243465,318.314945502472,332.241936329066,321.657690429694,316.66188566533197,323.01217566343496,324.983064425993,0,0,0
CHN,China,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,1969.45727886944,1894.26378182123,1730.24811006405,1620.6231453774,1522.2839953673,1490.2796292881799,1413.06899125232,1295.23235487058,1151.2424624181601,1067.90387832886,1011.01890741307,956.1218505996379,928.306457892502,1033.73423682166,1097.21337101949,1079.37084361845,1061.0289620444698,983.752875964508,929.3171626803501,0,0,0
CIV,Cote d'Ivoire,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,242.417397920174,235.574394451449,193.745987337217,247.383235069362,218.669691673618,277.24985404163397,302.345825366339,278.980952915373,225.222381041764,201.00482389118298,226.193455764995,257.39244870473397,246.256633014609,187.453137259123,258.477496881601,260.645504374189,236.189964231322,207.639826907992,222.958422503508,0,0,0
CMR,Cameroon,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,68.5464634371356,45.5525917161928,160.578371730698,170.37450042393502,171.126571271423,189.37095763985602,190.204515265506,126.46605809145001,120.12428543930399,110.46566187955601,118.128899505514,112.664308915514,108.20554548231,115.50777305266,116.11966779854099,106.04335062409801,118.53039668823601,165.628727329049,138.376579617839,0,0,0
COG,"Congo, Rep.",EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,139.874382785691,145.449526370392,176.280042977931,174.740171160813,257.380990838735,180.332244500098,189.499059024131,260.300905252927,83.2783141353951,90.3410482271537,107.199033262106,84.8584987826071,66.6274369026613,101.374091841371,171.736367886381,134.446736685425,115.393248046444,127.543402893365,146.98116026646798,0,0,0
COK,Cook Islands,EN.ATM.CO2E.PP.GD.KD,"CO2 emissions per units of GDP (kg/$1,000 of 2005 PPP $)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
