Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADO,Andorra,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,1200.6,1160,1097.7,1135.5,1140.3,1219.6,1203.7,1349.3,1389.1,1286,806.3,1006.6,1669.7,1458,1334.8,1790.4,1551.6,1913.5,1418.1,2031.3,0,0
AGO,Angola,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,320.9,417.4,397,267.8,298.4,402.2,653.3,567.3,701.6,620.3,572.1,623.7,639.7,668.4,499.7,598.8,449.1,526.8,729.9,587.7,0,0
ALB,Albania,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,2794.3,2071.8,2269.2,2685,2460.9,2841.4,2450.8,2833.3,2872.1,2798,3175,3030.7,3291.8,3185.7,3466.2,3462.1,3602.6,3728.3,4081.1,4315.3,0,0
ARE,United Arab Emirates,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,2216.4,1594,2315.3,858.5,1855.3,1741.9,1194.8,5137.9,7200,4156.8,6500,3533.3,3411.7,2500,2000,2000,2600,3000,3000,3000,0,0
ARG,Argentina,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,2232.2,2666.1,3057.3,2846.5,2815.9,2799.7,2753.4,3307.4,3691.7,3351.5,3453.4,3206.4,3240.7,3673,3668.6,4232.2,3702.2,4352.4,3927.1,3166.6,0,0
ARM,Armenia,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,0,0,1842.8,1688.8,1439.9,1859,1877.1,1365.8,1768.3,1802.4,1410.2,1902.6,2229,1589,2323.3,1974.9,1364.2,2647.4,2386.4,2229.7,0,0
ASM,American Samoa,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,2380.9,1833.3,1722.2,1578.9,1707.3,1607.1,1727.2,1846.1,1882.3,2793.1,1600,1677.4,1562.5,1571.4,1578.9,1628.5,1625,1777.7,1619,1736.8,0,0
AUS,Australia,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,1716.1,1603.3,1896.5,1979.4,1266.6,1871,2129.1,1953.7,1986.2,2110.9,1962.3,2219.3,1088.2,2089.4,1704.5,2087.3,1054.5,1231.3,1696.5,1764,0,0
AUT,Austria,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,5577.3,5463,5160,5098.5,5399.7,5515.2,5391.6,5910.3,5694.9,5939.1,5415.6,5859.9,5647.1,5580.9,6872.5,6345.9,5723.5,5846.9,6809.8,6133.4,0,0
AZE,Azerbaijan,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,0,0,2112.7,1618.9,1632.6,1507,1578.1,1710.1,1558.8,2085.9,2335.1,2599.5,2623.2,2604.1,2588.7,2593.1,2599.3,2667.4,2741.4,2606.6,0,0
BDI,Burundi,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,1348.5,1368.9,1391.3,1387.2,1288.8,1331.8,1388.7,1449,1275.9,1309.4,1243.3,1306.4,1334.2,1317,1353.9,1376.9,1297.7,1370.8,1318.3,1319.4,0,0
BEL,Belgium,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,0,0,0,0,0,0,0,0,0,0,8021.3,8218.1,8500.8,8530.6,9184.9,8649.5,8373.3,8637.7,8885.7,9710.7,0,0
BEN,Benin,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,847.8,878.5,913.3,919.1,956.8,1086.4,1009.5,1116.9,1055.9,1162.6,1102.1,1069.2,945.1,1148.7,1146.5,1136.3,1125.1,1067.9,1157.1,1423.5,0,0
BFA,Burkina Faso,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,600.2,876.5,871.5,936.1,787.8,851,916.5,704.5,888.9,912.9,859,967.7,942.6,996.3,940.6,1127.2,1203.8,936.1,1039.8,1002,0,0
BGD,Bangladesh,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,2490.5,2585.7,2625.6,2647.7,2475.8,2593.1,2694.1,2682.4,2865.3,3116.4,3384.3,3311,3394.9,3479.3,3439.4,3681.5,3761.3,4020.8,4102.2,4140.4,0,0
BGR,Bulgaria,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,3953.7,3990,2953.7,2512.4,2798.6,3068.9,1908.5,3011.4,2684.7,2946.8,2459.1,2899.6,3156.2,2371.3,4077.7,3387,3572.4,2088.8,4100.8,3413,0,0
BHR,Bahrain,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHS,"Bahamas, The",AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,2032.5,1582.2,1666.6,1600,1793.1,1793.1,1793.1,1740,1984.2,2165.7,1950,1935.4,1906.2,1899.4,2151.5,2117.6,2794.1,2222.2,2067.4,2195.9,0,0
