Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,SH.STA.MALN.ZS,"Child malnutrition, underweight (% of under age 5)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADO,Andorra,SH.STA.MALN.ZS,"Child malnutrition, underweight (% of under age 5)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,SH.STA.MALN.ZS,"Child malnutrition, underweight (% of under age 5)",0,1,0,0,0,0,0,0,0,44.9,0,0,0,0,0,0,32.9,0,0,0,0,0,0,0
AGO,Angola,SH.STA.MALN.ZS,"Child malnutrition, underweight (% of under age 5)",0,1,0,0,0,0,0,0,37,0,0,0,0,27.5,0,0,0,0,0,0,0,0,0,0
ALB,Albania,SH.STA.MALN.ZS,"Child malnutrition, underweight (% of under age 5)",0,1,0,0,0,0,0,0,0,0,7.1,0,17,0,0,0,0,6.6,0,0,0,0,0,0
ARE,United Arab Emirates,SH.STA.MALN.ZS,"Child malnutrition, underweight (% of under age 5)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG,Argentina,SH.STA.MALN.ZS,"Child malnutrition, underweight (% of under age 5)",0,1,0,0,0,0,1.7,0,4.7,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0
ARM,Armenia,SH.STA.MALN.ZS,"Child malnutrition, underweight (% of under age 5)",0,1,0,0,0,0,0,0,0,0,2.7,0,0,2.6,0,0,0,4.2,0,0,0,0,0,0
ASM,American Samoa,SH.STA.MALN.ZS,"Child malnutrition, underweight (% of under age 5)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,SH.STA.MALN.ZS,"Child malnutrition, underweight (% of under age 5)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,SH.STA.MALN.ZS,"Child malnutrition, underweight (% of under age 5)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,Austria,SH.STA.MALN.ZS,"Child malnutrition, underweight (% of under age 5)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZE,Azerbaijan,SH.STA.MALN.ZS,"Child malnutrition, underweight (% of under age 5)",0,1,0,0,0,0,0,0,8.8,0,0,0,14,5.9,0,0,0,0,8.4,0,0,0,0,0
BDI,Burundi,SH.STA.MALN.ZS,"Child malnutrition, underweight (% of under age 5)",0,1,0,0,0,0,0,0,0,0,0,0,38.9,0,0,0,0,0,0,0,0,0,0,0
BEL,Belgium,SH.STA.MALN.ZS,"Child malnutrition, underweight (% of under age 5)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEN,Benin,SH.STA.MALN.ZS,"Child malnutrition, underweight (% of under age 5)",0,1,0,0,0,0,0,0,26.8,0,0,0,0,21.5,0,0,0,0,20.2,0,0,0,0,0
