Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,EN.CLC.MDAT.ZS,"Droughts, floods, extreme temps (% pop. avg. 1990-2009)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADO,Andorra,EN.CLC.MDAT.ZS,"Droughts, floods, extreme temps (% pop. avg. 1990-2009)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,EN.CLC.MDAT.ZS,"Droughts, floods, extreme temps (% pop. avg. 1990-2009)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0592901689499878,0,0
AGO,Angola,EN.CLC.MDAT.ZS,"Droughts, floods, extreme temps (% pop. avg. 1990-2009)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01176467635625,0,0
ALB,Albania,EN.CLC.MDAT.ZS,"Droughts, floods, extreme temps (% pop. avg. 1990-2009)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.269576993399562,0,0
ARE,United Arab Emirates,EN.CLC.MDAT.ZS,"Droughts, floods, extreme temps (% pop. avg. 1990-2009)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG,Argentina,EN.CLC.MDAT.ZS,"Droughts, floods, extreme temps (% pop. avg. 1990-2009)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16718995051282812,0,0
ARM,Armenia,EN.CLC.MDAT.ZS,"Droughts, floods, extreme temps (% pop. avg. 1990-2009)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47823110092150495,0,0
ASM,American Samoa,EN.CLC.MDAT.ZS,"Droughts, floods, extreme temps (% pop. avg. 1990-2009)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.617549798884924e-4,0,0
ATG,Antigua and Barbuda,EN.CLC.MDAT.ZS,"Droughts, floods, extreme temps (% pop. avg. 1990-2009)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,EN.CLC.MDAT.ZS,"Droughts, floods, extreme temps (% pop. avg. 1990-2009)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0470986064941328,0,0
AUT,Austria,EN.CLC.MDAT.ZS,"Droughts, floods, extreme temps (% pop. avg. 1990-2009)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03815297827963363,0,0
AZE,Azerbaijan,EN.CLC.MDAT.ZS,"Droughts, floods, extreme temps (% pop. avg. 1990-2009)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1055650666624115,0,0
BDI,Burundi,EN.CLC.MDAT.ZS,"Droughts, floods, extreme temps (% pop. avg. 1990-2009)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3774112889230246,0,0
BEL,Belgium,EN.CLC.MDAT.ZS,"Droughts, floods, extreme temps (% pop. avg. 1990-2009)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001692168060149665,0,0
BEN,Benin,EN.CLC.MDAT.ZS,"Droughts, floods, extreme temps (% pop. avg. 1990-2009)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8582747992649254,0,0
BFA,Burkina Faso,EN.CLC.MDAT.ZS,"Droughts, floods, extreme temps (% pop. avg. 1990-2009)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2500368273579976,0,0
BGD,Bangladesh,EN.CLC.MDAT.ZS,"Droughts, floods, extreme temps (% pop. avg. 1990-2009)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.58469425909382,0,0
BGR,Bulgaria,EN.CLC.MDAT.ZS,"Droughts, floods, extreme temps (% pop. avg. 1990-2009)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008553160446462019,0,0
BHR,Bahrain,EN.CLC.MDAT.ZS,"Droughts, floods, extreme temps (% pop. avg. 1990-2009)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHS,"Bahamas, The",EN.CLC.MDAT.ZS,"Droughts, floods, extreme temps (% pop. avg. 1990-2009)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIH,Bosnia and Herzegovina,EN.CLC.MDAT.ZS,"Droughts, floods, extreme temps (% pop. avg. 1990-2009)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4932284985799009,0,0
BLR,Belarus,EN.CLC.MDAT.ZS,"Droughts, floods, extreme temps (% pop. avg. 1990-2009)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021958551526536665,0,0
BLZ,Belize,EN.CLC.MDAT.ZS,"Droughts, floods, extreme temps (% pop. avg. 1990-2009)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8060855888177266,0,0
BMU,Bermuda,EN.CLC.MDAT.ZS,"Droughts, floods, extreme temps (% pop. avg. 1990-2009)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOL,Bolivia,EN.CLC.MDAT.ZS,"Droughts, floods, extreme temps (% pop. avg. 1990-2009)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29742916356694,0,0
BRA,Brazil,EN.CLC.MDAT.ZS,"Droughts, floods, extreme temps (% pop. avg. 1990-2009)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4824510279925466,0,0
BRB,Barbados,EN.CLC.MDAT.ZS,"Droughts, floods, extreme temps (% pop. avg. 1990-2009)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN,Brunei Darussalam,EN.CLC.MDAT.ZS,"Droughts, floods, extreme temps (% pop. avg. 1990-2009)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
