Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADO,Andorra,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,167,160
AGO,Angola,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,163,172
ALB,Albania,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,82,82
ARE,United Arab Emirates,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,40,33
ARG,Argentina,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,115,113
ARM,Armenia,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,48,55
ASM,American Samoa,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,64,57
AUS,Australia,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,15
AUT,Austria,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,32,32
AZE,Azerbaijan,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,54,66
BDI,Burundi,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,181,169
BEL,Belgium,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,25,28
BEN,Benin,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,170,175
BFA,Burkina Faso,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,151,150
BGD,Bangladesh,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,107,122
BGR,Bulgaria,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,51,59
BHR,Bahrain,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,28,38
BHS,"Bahamas, The",IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,77,85
BIH,Bosnia and Herzegovina,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,110,125
BLR,Belarus,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,68,69
BLZ,Belize,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,99,93
BMU,Bermuda,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOL,Bolivia,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,149,153
BRA,Brazil,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,127,126
BRB,Barbados,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN,Brunei Darussalam,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,112,83
BTN,Bhutan,IC.BUS.EASE.XQ,Ease of doing business (ranking 1-183; 1=best),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,142,142
