Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,EG.USE.PCAP.KG.OE,Energy use per capita (kilograms of oil equivalent),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADO,Andorra,EG.USE.PCAP.KG.OE,Energy use per capita (kilograms of oil equivalent),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,EG.USE.PCAP.KG.OE,Energy use per capita (kilograms of oil equivalent),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,Angola,EG.USE.PCAP.KG.OE,Energy use per capita (kilograms of oil equivalent),0,0,569.242999454671,565.451027196188,550.548264050147,551.688878141007,541.553066688467,528.386164349669,531.680254723364,531.736161548602,519.274348629747,531.897946760463,533.443417033279,542.4698802717,549.321868464362,568.512866746654,597.237843616716,551.955631568424,581.149517888093,605.808197911062,630.636694917453,641.107047840986,0,0
ALB,Albania,EG.USE.PCAP.KG.OE,Energy use per capita (kilograms of oil equivalent),0,0,809.215612301386,565.8792810391,413.9412418124,410.921451542233,443.46429342004,421.572747398843,454.236767560979,390.423111728638,423.029992819183,569.095509686028,574.984634696418,580.734963335671,642.287892528201,663.774531247133,640.551691739249,724.181361003247,679.845796451696,671.007503947578,649.924545726296,537.834005643459,0,0
ARE,United Arab Emirates,EG.USE.PCAP.KG.OE,Energy use per capita (kilograms of oil equivalent),0,0,11258.1323445989,12262.38813035,11058.790176233,11039.3207535076,11635.3088697615,11754.3404644334,12607.8392616279,11789.2924288083,11596.1113367207,11311.8840691769,11330.5956734337,11857.9874517375,12438.6474783628,11784.9115499481,11570.7162465603,10623.7565271497,9757.15804138693,9561.6642256529,9409.65175426315,8587.96321850345,0,0
ARG,Argentina,EG.USE.PCAP.KG.OE,Energy use per capita (kilograms of oil equivalent),0,0,1411.46651956983,1434.96060066516,1489.45070789009,1469.43427608146,1552.4594286543,1547.44373573382,1575.62102062586,1638.88014449084,1662.64176631389,1653.37180296702,1650.49336041721,1550.46150733111,1470.79355578487,1553.82547800861,1755.40976242057,1731.38620353146,1870.23771360335,1867.24018904053,1922.7606390021,1853.3253691048,0,0
ARM,Armenia,EG.USE.PCAP.KG.OE,Energy use per capita (kilograms of oil equivalent),0,0,2171.31375195891,2309.84088784588,1193.32886948759,646.577990032557,414.996626693491,506.306983832391,557.521077742944,589.980145691832,606.005401561416,589.324032946098,651.264361538547,651.636272306503,610.102947762986,643.765801877699,680.194879403594,817.053680518364,829.406640858623,925.555131594399,973.201146963369,843.184345825369,0,0
ASM,American Samoa,EG.USE.PCAP.KG.OE,Energy use per capita (kilograms of oil equivalent),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,EG.USE.PCAP.KG.OE,Energy use per capita (kilograms of oil equivalent),0,0,1588.81566509115,0,0,0,0,0,0,0,0,0,0,0,0,0,1629.68685868804,1632.5849659183,1683.30351257181,1698.9585151568,0,0,0,0
AUS,Australia,EG.USE.PCAP.KG.OE,Energy use per capita (kilograms of oil equivalent),0,0,5052.77847771182,4926.72778292062,4957.33861103172,5160.70057168733,5111.08064967796,5121.51610225764,5403.64862650866,5469.99843387158,5554.77387632943,5610.94467927718,5644.60914739205,5502.98403131922,5676.00735825437,5686.299094263,5649.97302185081,5863.86569125463,5910.01739306886,5929.28840906395,6019.0676093681,5970.86726768314,5635.65005732507,0
AUT,Austria,EG.USE.PCAP.KG.OE,Energy use per capita (kilograms of oil equivalent),0,0,3213.88953948459,3381.07379003113,3256.04537553972,3229.31722115956,3221.3413066833,3356.75092388886,3559.87307416002,3536.66023678491,3594.19331957901,3580.24544793135,3566.05107933964,3761.80656148669,3779.35888472164,3974.88666880189,3978.51505254015,4123.58556107515,4076.09088836795,4008.35065297415,4016.59604511303,3784.40744625849,3943.55391845548,0
AZE,Azerbaijan,EG.USE.PCAP.KG.OE,Energy use per capita (kilograms of oil equivalent),0,0,3664.79452437491,3372.75615458671,2803.11649959361,2328.27738492328,2095.85691720416,1660.95237475602,1518.2030142986,1437.55192651187,1505.19423733097,1386.12075660779,1420.70678752834,1404.83886253062,1402.184676934,1456.26823843472,1522.37001673271,1652.88619315169,1592.93150491187,1417.76956871337,1522.13239153753,1337.6309774621,0,0
BDI,Burundi,EG.USE.PCAP.KG.OE,Energy use per capita (kilograms of oil equivalent),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEL,Belgium,EG.USE.PCAP.KG.OE,Energy use per capita (kilograms of oil equivalent),0,0,4844.17561249674,5055.8933479934,5093.0268790443,4954.27864544598,5225.41312428328,5304.05759213953,5586.58915033967,5579.64502504666,5659.69665784573,5689.20506551926,5707.01648458837,5673.66569456596,5454.6165682764,5709.10357452049,5650.96534092201,5600.42789997955,5509.34389386078,5366.71814562805,5469.58157597596,5299.74751986594,5220.88940882287,0
BEN,Benin,EG.USE.PCAP.KG.OE,Energy use per capita (kilograms of oil equivalent),0,0,348.055167911585,341.84022665232,338.327458946995,334.353325790341,330.220965110647,326.841959880314,369.425032871091,372.652695941763,357.644099443873,362.777898202,304.192665941474,313.709311108787,327.52996727436,334.662949324603,336.787787485376,327.524834756988,374.768268178681,395.343376262993,392.489450668862,403.969368633506,0,0
BFA,Burkina Faso,EG.USE.PCAP.KG.OE,Energy use per capita (kilograms of oil equivalent),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGD,Bangladesh,EG.USE.PCAP.KG.OE,Energy use per capita (kilograms of oil equivalent),0,0,120.996407369589,116.511475882494,120.235439050409,124.190375715098,126.988771805495,135.307621224185,133.336185584029,136.512118865867,139.454308402344,138.703612418932,143.550832794625,153.217126365717,154.589664067029,158.971027955012,162.580466449063,169.84421321769,178.339365183579,184.02470102056,192.06189514175,201.314675980222,0,0
BGR,Bulgaria,EG.USE.PCAP.KG.OE,Energy use per capita (kilograms of oil equivalent),0,0,3277.39068593714,2560.05444856348,2413.88442622951,2600.10587818697,2520.94119739182,2750.22678571429,2746.93788894208,2505.27113108314,2424.27637156352,2224.9740497076,2314.28846153846,2464.20581542351,2416.32329393824,2493.91039243257,2418.77246853008,2569.26303957415,2655.4797883367,2624.43634033633,2594.20887937723,2304.54108175587,0,0
BHR,Bahrain,EG.USE.PCAP.KG.OE,Energy use per capita (kilograms of oil equivalent),0,0,8825.51314590853,7976.4034854002,8319.86007204212,8746.28166548326,9073.51342033892,8818.15840263009,8635.98555610056,9130.50898334868,9512.98268920239,9020.93448102558,9189.51163676192,9445.44053789046,10019.4262307848,10432.9289021021,10375.1652375849,10348.0636914379,10193.2475567222,9456.59385589582,8784.70750000713,8096.25352050056,0,0
BHS,"Bahamas, The",EG.USE.PCAP.KG.OE,Energy use per capita (kilograms of oil equivalent),0,0,2519.51111553598,0,0,0,0,0,0,0,0,0,0,0,0,0,2109.68453226324,2179.3723658089,2178.56856319392,2155.9260599463,0,0,0,0
BIH,Bosnia and Herzegovina,EG.USE.PCAP.KG.OE,Energy use per capita (kilograms of oil equivalent),0,0,1628.89394333639,1519.33681059583,1131.63775903171,1016.28687170944,425.193932349557,459.826811816459,539.756817978311,812.466722287985,974.021380432924,931.55456237203,1179.44130787087,1122.85900271318,1169.38580988871,1165.20241931924,1273.63872978967,1334.88803626341,1426.14134591077,1479.14281797941,1583.14795011558,1579.90043217542,0,0
BLR,Belarus,EG.USE.PCAP.KG.OE,Energy use per capita (kilograms of oil equivalent),0,0,4470.3536166454,4348.46262507357,3620.72768206735,3076.69704072663,2615.73648186174,2427.66676476359,2501.34616141732,2505.60274785015,2465.39666302513,2408.82222222222,2467.19290354823,2484.79968050922,2544.24413098237,2633.08895424066,2735.83445224898,2749.0039878296,2941.6214744413,2891.95557616986,2931.19579254322,2814.80498579994,0,0
BLZ,Belize,EG.USE.PCAP.KG.OE,Energy use per capita (kilograms of oil equivalent),0,0,562,0,0,0,0,0,0,0,0,0,0,0,0,0,548.478414720453,551.747772446881,570.696714512287,571.428571428571,0,0,0,0
BMU,Bermuda,EG.USE.PCAP.KG.OE,Energy use per capita (kilograms of oil equivalent),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOL,Bolivia,EG.USE.PCAP.KG.OE,Energy use per capita (kilograms of oil equivalent),0,0,392.07117199137,394.957523180048,408.716710007559,420.122764773884,452.76326183595,497.675053624551,540.029344212112,579.327278833438,591.545452732117,550.081940806522,455.385345423659,347.198777261317,412.71050471633,427.347326895655,408.099618420164,571.03028374854,694.229078960658,571.844107944452,621.535804150059,637.600718109415,0,0
BRA,Brazil,EG.USE.PCAP.KG.OE,Energy use per capita (kilograms of oil equivalent),0,0,937.155990283101,939.25664742651,934.013848938257,942.659701553689,977.32809477486,995.483260415401,1032.48711818494,1068.57177474511,1077.93311119062,1086.14377242135,1084.47501968277,1075.75798873043,1092.31121845374,1096.12900676889,1140.61387473185,1158.3861114051,1186.26776033743,1240.22240584427,1297.91008491728,1242.77270374885,0,0
BRB,Barbados,EG.USE.PCAP.KG.OE,Energy use per capita (kilograms of oil equivalent),0,0,1240.79799307132,0,0,0,0,0,0,0,0,0,0,0,0,0,1389.16157616125,1441.75850175414,1468.29876559606,1476.3380924681,0,0,0,0
BRN,Brunei Darussalam,EG.USE.PCAP.KG.OE,Energy use per capita (kilograms of oil equivalent),0,0,6990.23896876549,7706.78639867056,8049.94864951985,7552.27046590201,6885.27659574468,7984.06154398613,7805.00558568987,7855.29951497411,7635.29735823917,7600.38666808487,7502.65719981898,6818.52441169081,6512.56934584364,7394.15547737627,7292.0439508573,6992.87844614635,8785.17054307526,8795.38452980427,9433.50966349966,7971.32225900055,0,0
BTN,Bhutan,EG.USE.PCAP.KG.OE,Energy use per capita (kilograms of oil equivalent),0,0,100.223720680394,0,0,0,0,0,0,0,0,0,0,0,0,0,280.199252801993,309.422366080028,312.740391384966,354.351920834295,0,0,0,0
BWA,Botswana,EG.USE.PCAP.KG.OE,Energy use per capita (kilograms of oil equivalent),0,0,912.328166606504,901.156950483643,1008.78475606926,984.409413580144,944.868579824031,943.037403895091,894.222099594507,917.463496770324,1018.01853871255,1030.95628404234,1044.62192641893,1046.57516129629,1059.88652195146,1041.91020623159,1002.67999393168,1027.91637988071,1032.30040428112,1062.19274308186,1110.35275846087,1033.69842993658,0,0
