Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,NY.GDP.MKTP.CD,GDP ($),0,0,0,872067021.913829,958659238.282076,1083240282.27456,1245810153.89127,1320670419.17181,1379888369.03561,1531843679.53254,1665363128.18454,1722905064.60485,1858659293.19269,1898882757.736,1911173189.28251,0,0,0,0,0,0,0,0,0
ADO,Andorra,NY.GDP.MKTP.CD,GDP ($),0,0,1028989439.40715,1106890942.98847,1209992604.28817,1007090896.43735,1017544619.09316,1178745261.82826,1224023469.69136,1180646037.01274,1211953953.56155,1239840265.63345,1133644294.5425,1264760246.44075,1456198796.29382,1917948475.27513,2322163502.26295,2539759285.92747,2823503852.62328,3245411583.7197,3712034266.50674,0,0,0
AFG,Afghanistan,NY.GDP.MKTP.CD,GDP ($),0,0,0,0,0,0,0,0,0,0,0,0,0,2461666314.78366,4338907578.66254,4766127271.58125,5704202650.63821,6814753580.54149,7721931671.42095,9739337182.88166,11757405532.5125,0,0,0
AGO,Angola,NY.GDP.MKTP.CD,GDP ($),0,0,10260193360.6806,12193746624.6789,5779394291.7582,5285600050.3455,4059577145.36303,5039534776.4902,7526446605.51712,7675412589.45525,6445192203.74553,6154480286.73835,9129180360.52186,8936023211.53323,11431738445.4161,13956268299.1078,19775218957.9962,30632364953.7518,45163239832.4302,60451594399.3951,84178512502.4322,75492890278.338,84390572976.7371,0
ALB,Albania,NY.GDP.MKTP.CD,GDP ($),0,0,2101624960,1139166679.0665,709452572.658102,1228071037.41335,1985673025.89461,2424498952.88127,3013217852.57366,2196223713.8105,2727745453.08283,3434402453.41057,3686649387.03405,4091020249.36656,4449373455.56632,5652325081.59963,7464446950.02559,8376483740.48289,9132562332.43024,10704660840.2938,12968653524.7799,12044881925.4123,11786099137.931,0
ARE,United Arab Emirates,NY.GDP.MKTP.CD,GDP ($),0,0,33653227968.2983,33919640389.9773,35412694052.5501,35745300971.5725,38268046815.0419,42806864571.426,47993462223.6228,51209479652.5882,48500477900.0416,55193466518.727,70591424755.7073,68676925038.6647,75284685608.6257,88578899739.223,103784073761.03,132999867652.074,163296124473.913,207569781286.572,261347863149.485,230251878598.879,0,0
ARG,Argentina,NY.GDP.MKTP.CD,GDP ($),0,0,141352368714.691,189719989668.103,228779382768.151,236753563469.871,257439956992,258031878144,272149757952,292858888192,298948362240,283523022848,284203745280,268696715264,102040334258.58,129597103033.807,153129481873.143,183193408940.742,214066231199.562,260768703249.434,326676673164.783,307081774895.424,368711957357.531,0
ARM,Armenia,NY.GDP.MKTP.CD,GDP ($),0,0,2256838858.42714,2068526521.90299,1272577521.7683,1201313196.45626,1315158670.47971,1468317350.02343,1596968913.19202,1639492424.38103,1893726437.35976,1845482181.48539,1911563665.39006,2118467913.37873,2376335048.39976,2807061008.69084,3576615240.41616,4900436758.50466,6384457744.44765,9206277478.95229,11662017844.8868,8541111814.57829,9264794733.1799,0
ASM,American Samoa,NY.GDP.MKTP.CD,GDP ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,NY.GDP.MKTP.CD,GDP ($),0,0,391570363.454988,410388899.418937,423762955.479039,456537023.048377,500088880.057001,494185188.309412,541074082.296139,579851829.759447,620037014.234937,651851840.339733,664174062.344337,696251839.555601,713533320.73188,753107394.107051,815396281.895879,866818503.209952,1010881463.62867,1155366646.26216,1203314814.81481,1097688888.88889,1014981481.48148,0
AUS,Australia,NY.GDP.MKTP.CD,GDP ($),0,0,314518661023.471,329965465819.01,328991771129.739,315553681843.732,326529920442.753,371090733590.734,403660849772.382,437674127406.48,401216848673.947,390208672766.011,416923318470.138,380427712783.085,397239430724.152,468468841001.747,615275999430.929,696033679145.993,749316412099.431,856816361780.639,1039415095376.83,924843128520.741,0,0
AUT,Austria,NY.GDP.MKTP.CD,GDP ($),0,0,164846797773.206,172166366529.169,193096520160.28,188288650183.367,201192480424.045,238314109458.168,234143004938.913,206878199346.037,212150714762.117,210929628169.614,191200302192.74,190155281431.767,205954943534.726,252034237020.316,289038861882.5,302921137392.429,322340100433.926,372291309786.789,414670756948.768,381083737703.916,376162107600,0
AZE,Azerbaijan,NY.GDP.MKTP.CD,GDP ($),0,0,8858006035.91566,8792365810.5094,4991350457.5425,3973027396.65195,3313739673.54738,3052467522.36104,3176749593.11788,3962710163.11167,4446396217.63265,4581222442.45783,5272617196.04517,5707618246.56848,6236024951.20423,7275766111.24309,8680511918.49357,13245421880.834,20982270733.2484,33049380917.6985,46258154819.8637,43019407812.8888,51092154420.9215,0
BDI,Burundi,NY.GDP.MKTP.CD,GDP ($),0,0,1132101252.51817,1167398478.3459,1083037670.62404,938632612.059308,925030590.280334,1000428393.94934,869033856.317093,972896267.915425,893770806.077641,808077223.365746,709062400.266419,662371289.215391,628096157.257386,595002974.037851,664493918.667284,795882875.053163,918823350.843849,979785001.894867,1168900171.20255,1330790159.55901,1610544922.06225,0
BEL,Belgium,NY.GDP.MKTP.CD,GDP ($),0,0,202563186141.96,207672604016.539,231616006775.408,221691791044.776,241582269471.907,284142036124.795,275433224755.7,249438430311.231,255267837297.177,254175367568.719,232371475953.566,232154809843.4,252452475061.171,311191873589.165,361109559019.823,376616674128.24,399113833060.901,458619726868.846,505373713699.784,471161072622.78,467471523178.808,0
BEN,Benin,NY.GDP.MKTP.CD,GDP ($),0,0,1845041493.97641,1877810375.13616,1624296266.50694,2106272067.68824,1496845630.25929,2009226253.79815,2208067090.28089,2156753028.13332,2334564287.16502,2387363924.05615,2254838684.51335,2371785987.12212,2807357350.89456,3557983482.4501,4047438048.56774,4287463884.06501,4734839067.49029,5546177809.02921,6682744914.13769,6638062119.58847,6633055845.51675,0
