Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADO,Andorra,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,Angola,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,0,0,0,0,1.5255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,United Arab Emirates,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,0,0,0,0,0,0,0,0,0,0,-9.665,0,0,0,0,0,0,0,0,0,0,0
ARG,Argentina,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,0,0,0,0,0,0,0,0,0,0,-43.2979,0,0,0,0,0,0,0,0,0,0,0
ARM,Armenia,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASM,American Samoa,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,-0.0968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,43.14817027924394,166.44281327158978,124.56867052845503,-22.892279230742343,-19.68269726237263,104.74597338139402,-1.6956944346095686,-9.341518750130685,127.28589500440891,10.473530157026447,-13.504991909570698,-42.52679965585823,332.9820720375296,167.05379851280884,-195.33180152762003,44.83644753610568,48.21319006347888,342.4675342512036,69.48779858659994,53.970913922616944,0,0
AUT,Austria,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,-13.735235984819537,-19.611514784598594,-14.525185749469955,-18.3637386375571,-17.13956009459365,-16.44597531669688,-11.607460218340059,-20.407016694544076,-18.41241757768065,-22.772267719650287,-17.471100694455227,-20.111285780819152,-16.356765322237905,-17.787302700758577,-17.743078717663987,-17.678889770612322,-17.667870210707612,-17.613395983881905,-17.58650781155418,-17.524467947360325,0,0
AZE,Azerbaijan,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,0,0,0,0,-1.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDI,Burundi,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.346,0,0,0,0,0,0
BEL,Belgium,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,-1.5566248386280053,-0.9403998968572732,-1.25405754846556,-1.202232868706355,-1.2449018405846408,-1.0991785469821629,-1.1662810039901526,-1.2049945942412086,-1.1221500335751466,-1.1727119043704435,-1.1594333222105575,-1.8035156637496366,-1.6279169681280572,-1.7033646852943096,-1.6115552332799694,-1.6497261691800769,-1.6371335760418022,-1.611809951069979,-1.5559946914713862,-1.6002542750046012,0,0
BEN,Benin,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,0,0,0,0,0,-47.5234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFA,Burkina Faso,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,0,0,0,0,-1.3887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGD,Bangladesh,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,0,0,0,0,7.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGR,Bulgaria,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,-13.805753929054683,-13.672037856356472,-13.338869489738233,-12.621441523880009,-12.400177980621779,-12.885643512283552,-11.871057008693317,-11.93673779387509,-11.931260015976864,-11.943839892638636,-10.27630977483641,-10.605193980298008,-11.109274141010768,-11.120953089807854,-11.441007159687363,-11.336145509920474,-11.405600167600033,-10.254713536765003,-11.565807708632242,-11.781876909157132,0,0
BHR,Bahrain,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHS,"Bahamas, The",EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIH,Bosnia and Herzegovina,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,-7.4235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLR,Belarus,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,-28.57443629238384,-30.587246339190653,-28.782892740226043,-22.48772336737134,-31.73408025629417,-31.22179504741217,-29.28835077371768,-26.427874770870805,-24.46433095522896,-31.368449800938862,-30.90277833395332,-28.95121554294305,-25.63211709878916,-22.27660693992751,-22.888591096867255,-26.20997921337834,-28.420577678736617,-27.55948077996547,-27.138455793252373,-30.043537800000028,0,0
BLZ,Belize,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,0,0,0,0,-4.0247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMU,Bermuda,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOL,Bolivia,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.0473,0,0,0,0,0,0,0
BRA,Brazil,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1329.05,0,0,0,0,0,0
BRB,Barbados,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,0,0,0,0,0,0,0,-0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN,Brunei Darussalam,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTN,Bhutan,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,0,0,0,0,-3.5495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,Botswana,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,0,0,0,0,-38.733599999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAF,Central African Republic,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,0,0,0,0,-139.315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAN,Canada,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,-67.48497802466679,-41.230634982999845,-89.64106340733325,-20.326200584666378,-23.687397203667178,185.9716763713339,-29.714114204000573,-71.71402859366728,116.2413570196664,7.763377980999541,-62.106768707000505,-57.712406753333376,87.37715567933364,42.98973411166701,96.81801784999944,53.53278203299952,64.62093276333339,51.42915367266676,-16.94842821166745,-12.100159570666158,0,0
CHE,Switzerland,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,-2.725002924294438,-2.589388625228168,-2.008575495391032,-3.7031970870431397,-4.538680714320433,-3.4607271999894076,-3.295640365012267,-1.989885634036305,-1.8876214572484695,-0.7044022631496654,1.4418838726498386,1.8943575435193352,1.6338432774131637,-1.1675995666396728,-0.4542085094361665,-0.3732889650861965,0.9521850273901339,0.5688488721026356,0.5741344542860448,0.08855967096643232,0,0
CHI,Channel Islands,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHL,Chile,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,0,0,0,0,-9.1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN,China,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,0,0,0,0,-407.479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIV,Cote d'Ivoire,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,0,0,0,0,0,0,0,0,0,0,-18.3767,0,0,0,0,0,0,0,0,0,0,0
CMR,Cameroon,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,0,0,0,0,22.186400000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG,"Congo, Rep.",EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,0,0,0,0,0,0,0,0,0,0,-82.0665,0,0,0,0,0,0,0,0,0,0,0
COK,Cook Islands,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,0,0,0,0,-0.1544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COL,Colombia,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0145,0,0,0,0,0,0,0
COM,Comoros,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,0,0,0,0,-0.8951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPV,Cape Verde,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,0,0,0,0,0,-0.0703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRI,Costa Rica,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.5073000000000003,0,0,0,0,0,0
CUB,Cuba,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,0,0,0,0,0,0,-21.6543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUW,Curacao,EN.CLC.GHGR.MT.CE,GHG net emissions/removals by LUCF (MtCO2e),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
