Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,NY.GNP.PCAP.CD,GNI per capita (Atlas $),0,0,0,0,0,14940,15320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADO,Andorra,NY.GNP.PCAP.CD,GNI per capita (Atlas $),0,0,17440,18820,20540,18830,17770,17600,18710,19950,19310,19300,18790,19620,19710,22720,27840,32650,35620,37340,41750,0,0,0
AFG,Afghanistan,NY.GNP.PCAP.CD,GNI per capita (Atlas $),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,230,270,300,290,0,0,0
AGO,Angola,NY.GNP.PCAP.CD,GNI per capita (Atlas $),0,0,740,820,470,310,190,320,380,470,460,390,420,460,610,690,920,1330,1920,2660,3420,3880,3940,0
ALB,Albania,NY.GNP.PCAP.CD,GNI per capita (Atlas $),0,0,680,420,300,320,410,670,910,800,890,980,1170,1340,1390,1650,2090,2580,2960,3310,3820,3960,3960,0
ARE,United Arab Emirates,NY.GNP.PCAP.CD,GNI per capita (Atlas $),0,0,20720,19340,19430,18550,18870,19940,20250,21010,20590,18890,20630,21740,22430,25050,28340,0,0,0,0,0,0,0
ARG,Argentina,NY.GNP.PCAP.CD,GNI per capita (Atlas $),0,0,3180,3960,6300,7100,7570,7360,7730,8140,8010,7560,7460,6990,4040,3670,3580,4460,5170,6050,7190,7580,8500,0
ARM,Armenia,NY.GNP.PCAP.CD,GNI per capita (Atlas $),0,0,0,0,310,330,400,450,520,560,590,610,660,710,800,950,1150,1470,1920,2570,3340,3040,3090,0
ASM,American Samoa,NY.GNP.PCAP.CD,GNI per capita (Atlas $),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,NY.GNP.PCAP.CD,GNI per capita (Atlas $),0,0,5710,6120,6330,6770,7150,6890,7110,7610,7730,8010,7910,8290,8180,8880,9470,10100,11340,12560,12990,11730,10590,0
AUS,Australia,NY.GNP.PCAP.CD,GNI per capita (Atlas $),0,0,17420,18380,18890,19100,18930,19470,20690,22090,21890,21590,21260,20250,20100,21260,25670,30410,34300,37140,41760,43590,0,0
AUT,Austria,NY.GNP.PCAP.CD,GNI per capita (Atlas $),0,0,20080,21200,24140,24220,25530,27490,29500,28810,27100,26200,25840,24210,23910,26810,32240,36920,39260,42180,46250,46410,46690,0
AZE,Azerbaijan,NY.GNP.PCAP.CD,GNI per capita (Atlas $),0,0,0,0,0,590,440,400,400,450,510,570,610,660,720,820,950,1270,1890,2710,3790,4750,5080,0
BDI,Burundi,NY.GNP.PCAP.CD,GNI per capita (Atlas $),0,0,210,210,200,180,160,150,140,150,150,140,130,110,100,90,90,100,110,120,140,150,170,0
BEL,Belgium,NY.GNP.PCAP.CD,GNI per capita (Atlas $),0,0,18940,20190,22720,22960,24610,26550,28050,27940,26000,25530,25400,23900,23410,26350,31980,36530,38780,41350,45080,45250,45360,0
BEN,Benin,NY.GNP.PCAP.CD,GNI per capita (Atlas $),0,0,360,370,370,370,330,340,340,370,370,370,370,360,360,420,500,570,590,630,730,780,780,0
BFA,Burkina Faso,NY.GNP.PCAP.CD,GNI per capita (Atlas $),0,0,310,340,300,260,220,220,230,240,230,240,230,230,230,280,340,390,410,420,470,500,550,0
BGD,Bangladesh,NY.GNP.PCAP.CD,GNI per capita (Atlas $),0,0,290,300,320,320,320,330,350,360,360,370,380,380,380,400,440,480,500,520,570,640,700,0
BGR,Bulgaria,NY.GNP.PCAP.CD,GNI per capita (Atlas $),0,0,2260,1620,1430,1250,1250,1360,1160,1170,1240,1450,1640,1760,1900,2300,2960,3640,4080,4530,5700,6080,6250,0
BHR,Bahrain,NY.GNP.PCAP.CD,GNI per capita (Atlas $),0,0,7260,9860,9950,10110,9760,10470,10860,10340,10110,10030,10940,11640,12330,13830,15510,17400,18010,18670,18730,0,0,0
BHS,"Bahamas, The",NY.GNP.PCAP.CD,GNI per capita (Atlas $),0,0,12000,11500,11650,11410,11690,12190,12410,13530,14260,16300,17650,18100,18480,18850,19840,20680,20310,20970,21660,20610,0,0
BIH,Bosnia and Herzegovina,NY.GNP.PCAP.CD,GNI per capita (Atlas $),0,0,0,0,0,0,0,0,870,1120,1430,1460,1510,1610,1760,2030,2540,3000,3330,3790,4530,4740,4790,0
BLR,Belarus,NY.GNP.PCAP.CD,GNI per capita (Atlas $),0,0,0,0,1670,1590,1460,1370,1450,1530,1550,1400,1380,1300,1370,1610,2150,2760,3490,4350,5590,5770,6130,0
BLZ,Belize,NY.GNP.PCAP.CD,GNI per capita (Atlas $),0,0,2210,2350,2600,2680,2670,2740,2780,2780,2700,2820,3110,3080,3160,3410,3520,3580,3650,3560,3740,3800,3740,0
