Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,EN.CLC.HCDM,Hosted Clean Development Mechanism (CDM) projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADO,Andorra,EN.CLC.HCDM,Hosted Clean Development Mechanism (CDM) projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,EN.CLC.HCDM,Hosted Clean Development Mechanism (CDM) projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,Angola,EN.CLC.HCDM,Hosted Clean Development Mechanism (CDM) projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,EN.CLC.HCDM,Hosted Clean Development Mechanism (CDM) projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ARE,United Arab Emirates,EN.CLC.HCDM,Hosted Clean Development Mechanism (CDM) projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
ARG,Argentina,EN.CLC.HCDM,Hosted Clean Development Mechanism (CDM) projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
ARM,Armenia,EN.CLC.HCDM,Hosted Clean Development Mechanism (CDM) projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
ASM,American Samoa,EN.CLC.HCDM,Hosted Clean Development Mechanism (CDM) projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,EN.CLC.HCDM,Hosted Clean Development Mechanism (CDM) projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,EN.CLC.HCDM,Hosted Clean Development Mechanism (CDM) projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,Austria,EN.CLC.HCDM,Hosted Clean Development Mechanism (CDM) projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZE,Azerbaijan,EN.CLC.HCDM,Hosted Clean Development Mechanism (CDM) projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BDI,Burundi,EN.CLC.HCDM,Hosted Clean Development Mechanism (CDM) projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEL,Belgium,EN.CLC.HCDM,Hosted Clean Development Mechanism (CDM) projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEN,Benin,EN.CLC.HCDM,Hosted Clean Development Mechanism (CDM) projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFA,Burkina Faso,EN.CLC.HCDM,Hosted Clean Development Mechanism (CDM) projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGD,Bangladesh,EN.CLC.HCDM,Hosted Clean Development Mechanism (CDM) projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
BGR,Bulgaria,EN.CLC.HCDM,Hosted Clean Development Mechanism (CDM) projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHR,Bahrain,EN.CLC.HCDM,Hosted Clean Development Mechanism (CDM) projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHS,"Bahamas, The",EN.CLC.HCDM,Hosted Clean Development Mechanism (CDM) projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIH,Bosnia and Herzegovina,EN.CLC.HCDM,Hosted Clean Development Mechanism (CDM) projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLR,Belarus,EN.CLC.HCDM,Hosted Clean Development Mechanism (CDM) projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLZ,Belize,EN.CLC.HCDM,Hosted Clean Development Mechanism (CDM) projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMU,Bermuda,EN.CLC.HCDM,Hosted Clean Development Mechanism (CDM) projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOL,Bolivia,EN.CLC.HCDM,Hosted Clean Development Mechanism (CDM) projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
BRA,Brazil,EN.CLC.HCDM,Hosted Clean Development Mechanism (CDM) projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196
BRB,Barbados,EN.CLC.HCDM,Hosted Clean Development Mechanism (CDM) projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN,Brunei Darussalam,EN.CLC.HCDM,Hosted Clean Development Mechanism (CDM) projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTN,Bhutan,EN.CLC.HCDM,Hosted Clean Development Mechanism (CDM) projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
BWA,Botswana,EN.CLC.HCDM,Hosted Clean Development Mechanism (CDM) projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAF,Central African Republic,EN.CLC.HCDM,Hosted Clean Development Mechanism (CDM) projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAN,Canada,EN.CLC.HCDM,Hosted Clean Development Mechanism (CDM) projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHE,Switzerland,EN.CLC.HCDM,Hosted Clean Development Mechanism (CDM) projects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
