Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADO,Andorra,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580000,0,0,0,0,0,0,0,0
AGO,Angola,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45000000,0,0,9400000,0,0,0,0,0
ALB,Albania,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000000,1600000,0,781000000,0,0,0,664000000,28000000,0
ARE,United Arab Emirates,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG,Argentina,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,5023150000,2494840000,2075680000,2135200000,2379790000,3080500000,3642300000,1754800000,2142900000,945500000,111830000,104040000,274000000,248600000,1928000000,489000000,717750000,344250000,322910000,0
ARM,Armenia,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,49000000,25000000,0,0,20000000,37000000,70000000,0,0,0
ASM,American Samoa,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,Austria,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZE,Azerbaijan,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,230000000,145200000,0,0,0,0,0,0,0,0,0
BDI,Burundi,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEL,Belgium,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEN,Benin,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590000000,0,0,0,0,0,0
BFA,Burkina Faso,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,5600000,0,0,0,0,0,0,0,0,0,0,0,0,0
BGD,Bangladesh,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,313700000,225000000,16150000,18500000,483000000,0,0,0,0,17800000,7300000,153800000,64630000,96900000,0
BGR,Bulgaria,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,793600000,117800000,2342100000,826100000,410500000,607860000,466000000,143640000,0
BHR,Bahrain,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHS,"Bahamas, The",IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIH,Bosnia and Herzegovina,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800000000,0,0,108600000,0
BLR,Belarus,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,500000000,0,0,0,0,0,0,0,0,0,0,625000000,625000000,625000000,625000000,0
BLZ,Belize,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,31900000,0,37000000,60000000,0,0,0,25000000,0,0,0,30000000,0,0,16000000,85500000,75000000,21500000,22200000,0
BMU,Bermuda,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOL,Bolivia,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,252400000,0,116600000,2281600000,126700000,164300000,64400000,474000000,29100000,25900000,126700000,53500000,63800000,20000000,0,0,0
BRA,Brazil,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,18600000,18600000,18600000,0,212000000,401630000,3071300000,13910250000,9916600000,5757500000,8587690000,3976690000,3889810000,3599850000,1950140000,4030390000,5785100000,8438800000,9194600000,23272210000,6134900000,0
BRB,Barbados,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN,Brunei Darussalam,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTN,Bhutan,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201000000,0,0
BWA,Botswana,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAF,Central African Republic,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAN,Canada,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHE,Switzerland,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHI,Channel Islands,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHL,Chile,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,440000000,0,82000000,80500000,518000000,933800000,1503000000,1465000000,2034600000,657700000,610000000,187000000,1900000,232810000,50500000,311000000,119300000,442460000,8870000,725100000,271500000,0
CHN,China,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,1881000000,2197000000,1048100000,987370000,2859100000,5946335000,3026000000,4347800000,846800000,997130000,1351330000,4678850000,1390490000,1706260000,1197580000,2199160000,678770000,3094950000,307060000,0
CIV,Cote d'Ivoire,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,39600000,0,0,0,70000000,37600000,0,0,0,223000000,0,0,0,0,0,0,0,0,0,0,0,0
CMR,Cameroon,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,70300000,21500000,0,0,0,440000000,126000000,0,0,342000000,0
COG,"Congo, Rep.",IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,325000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COK,Cook Islands,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COL,Colombia,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,282000000,258000000,1273200000,1495200000,3382926000,597100000,263600000,81900000,53000000,51300000,50700000,53000000,61700000,147600000,495600000,159300000,142100000,136300000,0
COM,Comoros,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPV,Cape Verde,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRI,Costa Rica,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,3200000,0,15000000,58100000,88300000,92900000,58500000,3400000,0,0,0,0,80000000,0,80000000,0,0,110000000,0,0
CUB,Cuba,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,150000000,15000000,0,0,0,0,116000000,0,60000000,0,0,0,0,0
CUW,Curacao,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYM,Cayman Islands,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP,Cyprus,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CZE,Czech Republic,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEU,Germany,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DJI,Djibouti,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMA,Dominica,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,7800000,18500000,0,0,0,0,0,0,0,0,0,0,0,0,0
DNK,Denmark,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOM,Dominican Republic,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,87500000,285000000,0,0,20000000,674000000,577300000,265000000,421800000,0,0,42500000,0,0,0,0,0,0
DZA,Algeria,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,2300000000,0,0,0,0,0,0,0,0,0,0,562000000,400000000,2320000000,0,0,0,0,0
EAP,East Asia & Pacific,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,3528000000,5577600000,6583200000,8765370000,11068200000,13560435000,5190000000,5095300000,3476300000,4439230000,3461330000,9455150000,3404600000,6473760000,3973580000,5877840000,8415070000,7845930000,14003171000,0
ECA,Europe & Central Asia,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,909000000,0,0,3813100000,626000000,0,0,0,0,18974000000,19654960000,9555200000,10740170000,0
ECU,Ecuador,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,30000000,0,0,0,0,0,0,302000000,0,0,129000000,0,0,0,0,0
EGY,"Egypt, Arab Rep.",IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,220000000,414000000,0,678000000,0,0,0,0,0,469000000,0,0,0,0
EMU,Euro area,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERI,Eritrea,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESP,Spain,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EST,Estonia,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,Ethiopia,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000000,0,0
FIN,Finland,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJI,Fiji,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRA,France,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRO,Faeroe Islands,IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSM,"Micronesia, Fed. Sts.",IE.PPI.ENGY.CD,Invest. in energy w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
