Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,IE.PPI.TRAN.CD,Invest. in transport w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADO,Andorra,IE.PPI.TRAN.CD,Invest. in transport w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,IE.PPI.TRAN.CD,Invest. in transport w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,Angola,IE.PPI.TRAN.CD,Invest. in transport w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53000000,0,0,0,0
ALB,Albania,IE.PPI.TRAN.CD,Invest. in transport w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308000000,0,0,0,0,0,0
ARE,United Arab Emirates,IE.PPI.TRAN.CD,Invest. in transport w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG,Argentina,IE.PPI.TRAN.CD,Invest. in transport w/ private participation ($),0,0,2088000000,214000000,814700000,1439600000,940500000,621200000,930000000,1195000000,1911300000,2345000000,129800000,63500000,6900000,0,3400000,0,337000000,728700000,331000000,5890000,0,0
ARM,Armenia,IE.PPI.TRAN.CD,Invest. in transport w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,63000000,0,0,0,0,0,10000000,705000000,0,0,0
ASM,American Samoa,IE.PPI.TRAN.CD,Invest. in transport w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,IE.PPI.TRAN.CD,Invest. in transport w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,IE.PPI.TRAN.CD,Invest. in transport w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,Austria,IE.PPI.TRAN.CD,Invest. in transport w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZE,Azerbaijan,IE.PPI.TRAN.CD,Invest. in transport w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDI,Burundi,IE.PPI.TRAN.CD,Invest. in transport w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEL,Belgium,IE.PPI.TRAN.CD,Invest. in transport w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
