Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,IE.PPI.WATR.CD,Invest. in water/sanit. w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADO,Andorra,IE.PPI.WATR.CD,Invest. in water/sanit. w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,IE.PPI.WATR.CD,Invest. in water/sanit. w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,Angola,IE.PPI.WATR.CD,Invest. in water/sanit. w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,IE.PPI.WATR.CD,Invest. in water/sanit. w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000000,0,0,0,0,0,0,0,0,0
ARE,United Arab Emirates,IE.PPI.WATR.CD,Invest. in water/sanit. w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG,Argentina,IE.PPI.WATR.CD,Invest. in water/sanit. w/ private participation ($),0,0,0,75000000,0,4000000000,1900000,1091000000,900000,874000000,438800000,902400000,689900000,0,67000000,0,34650000,0,0,0,0,0,0,0
ARM,Armenia,IE.PPI.WATR.CD,Invest. in water/sanit. w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASM,American Samoa,IE.PPI.WATR.CD,Invest. in water/sanit. w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,IE.PPI.WATR.CD,Invest. in water/sanit. w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,IE.PPI.WATR.CD,Invest. in water/sanit. w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,Austria,IE.PPI.WATR.CD,Invest. in water/sanit. w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZE,Azerbaijan,IE.PPI.WATR.CD,Invest. in water/sanit. w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDI,Burundi,IE.PPI.WATR.CD,Invest. in water/sanit. w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEL,Belgium,IE.PPI.WATR.CD,Invest. in water/sanit. w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEN,Benin,IE.PPI.WATR.CD,Invest. in water/sanit. w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFA,Burkina Faso,IE.PPI.WATR.CD,Invest. in water/sanit. w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGD,Bangladesh,IE.PPI.WATR.CD,Invest. in water/sanit. w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGR,Bulgaria,IE.PPI.WATR.CD,Invest. in water/sanit. w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,152000000,0,0,0,0,0,0,0,0,0,0,0
BHR,Bahrain,IE.PPI.WATR.CD,Invest. in water/sanit. w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHS,"Bahamas, The",IE.PPI.WATR.CD,Invest. in water/sanit. w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIH,Bosnia and Herzegovina,IE.PPI.WATR.CD,Invest. in water/sanit. w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLR,Belarus,IE.PPI.WATR.CD,Invest. in water/sanit. w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLZ,Belize,IE.PPI.WATR.CD,Invest. in water/sanit. w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,49600000,0,0,0,0,0,0,0,0,0,0
BMU,Bermuda,IE.PPI.WATR.CD,Invest. in water/sanit. w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOL,Bolivia,IE.PPI.WATR.CD,Invest. in water/sanit. w/ private participation ($),0,0,0,0,0,0,0,0,0,362000000,0,320000000,0,0,0,0,0,0,0,0,0,0,0,0
BRA,Brazil,IE.PPI.WATR.CD,Invest. in water/sanit. w/ private participation ($),0,0,0,0,0,0,3500000,152800000,58000000,473000000,649900000,516300000,711280000,14030000,207060000,45500000,255030000,1464000,382600000,140570000,827400000,14800000,215600000,0
BRB,Barbados,IE.PPI.WATR.CD,Invest. in water/sanit. w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN,Brunei Darussalam,IE.PPI.WATR.CD,Invest. in water/sanit. w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTN,Bhutan,IE.PPI.WATR.CD,Invest. in water/sanit. w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,Botswana,IE.PPI.WATR.CD,Invest. in water/sanit. w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAF,Central African Republic,IE.PPI.WATR.CD,Invest. in water/sanit. w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAN,Canada,IE.PPI.WATR.CD,Invest. in water/sanit. w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHE,Switzerland,IE.PPI.WATR.CD,Invest. in water/sanit. w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHI,Channel Islands,IE.PPI.WATR.CD,Invest. in water/sanit. w/ private participation ($),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
