Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,SH.MLR.INCD,"Malaria incidence rate (per 100,000 people)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADO,Andorra,SH.MLR.INCD,"Malaria incidence rate (per 100,000 people)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,SH.MLR.INCD,"Malaria incidence rate (per 100,000 people)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2428,0,0,0
AGO,Angola,SH.MLR.INCD,"Malaria incidence rate (per 100,000 people)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21593,0,0,0
ALB,Albania,SH.MLR.INCD,"Malaria incidence rate (per 100,000 people)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,United Arab Emirates,SH.MLR.INCD,"Malaria incidence rate (per 100,000 people)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG,Argentina,SH.MLR.INCD,"Malaria incidence rate (per 100,000 people)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARM,Armenia,SH.MLR.INCD,"Malaria incidence rate (per 100,000 people)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASM,American Samoa,SH.MLR.INCD,"Malaria incidence rate (per 100,000 people)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,SH.MLR.INCD,"Malaria incidence rate (per 100,000 people)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,SH.MLR.INCD,"Malaria incidence rate (per 100,000 people)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,Austria,SH.MLR.INCD,"Malaria incidence rate (per 100,000 people)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZE,Azerbaijan,SH.MLR.INCD,"Malaria incidence rate (per 100,000 people)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
