Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,EN.ATM.METH.KT.CE,"Methane (CH4) emissions, total (KtCO2e)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADO,Andorra,EN.ATM.METH.KT.CE,"Methane (CH4) emissions, total (KtCO2e)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,EN.ATM.METH.KT.CE,"Methane (CH4) emissions, total (KtCO2e)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,Angola,EN.ATM.METH.KT.CE,"Methane (CH4) emissions, total (KtCO2e)",0,1,49530,0,0,0,0,42370.6,0,0,0,0,43131.4,0,0,0,0,45408.8,0,0,0,0,0,0
ALB,Albania,EN.ATM.METH.KT.CE,"Methane (CH4) emissions, total (KtCO2e)",0,1,2537.2,0,0,0,0,2763.8,0,0,0,0,2578.1,0,0,0,0,2406.7,0,0,0,0,0,0
ARE,United Arab Emirates,EN.ATM.METH.KT.CE,"Methane (CH4) emissions, total (KtCO2e)",0,1,14735.3,0,0,0,0,16378.3,0,0,0,0,24126.9,0,0,0,0,23282.9,0,0,0,0,0,0
ARG,Argentina,EN.ATM.METH.KT.CE,"Methane (CH4) emissions, total (KtCO2e)",0,1,111048.3,0,0,0,0,107973.7,0,0,0,0,100260.4,0,0,0,0,101820.7,0,0,0,0,0,0
ARM,Armenia,EN.ATM.METH.KT.CE,"Methane (CH4) emissions, total (KtCO2e)",0,1,2890.5,0,0,0,0,2427.5,0,0,0,0,2565.1,0,0,0,0,2961.8,0,0,0,0,0,0
ASM,American Samoa,EN.ATM.METH.KT.CE,"Methane (CH4) emissions, total (KtCO2e)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,EN.ATM.METH.KT.CE,"Methane (CH4) emissions, total (KtCO2e)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,EN.ATM.METH.KT.CE,"Methane (CH4) emissions, total (KtCO2e)",0,1,115277.8,0,0,0,0,113112.9,0,0,0,0,130753.8,0,0,0,0,126487.8,0,0,0,0,0,0
AUT,Austria,EN.ATM.METH.KT.CE,"Methane (CH4) emissions, total (KtCO2e)",0,1,10020.5,0,0,0,0,9550.8,0,0,0,0,8972.7,0,0,0,0,8514.9,0,0,0,0,0,0
AZE,Azerbaijan,EN.ATM.METH.KT.CE,"Methane (CH4) emissions, total (KtCO2e)",0,1,17373,0,0,0,0,9110.5,0,0,0,0,34496.7,0,0,0,0,36607.2,0,0,0,0,0,0
BDI,Burundi,EN.ATM.METH.KT.CE,"Methane (CH4) emissions, total (KtCO2e)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEL,Belgium,EN.ATM.METH.KT.CE,"Methane (CH4) emissions, total (KtCO2e)",0,1,12865.5,0,0,0,0,12673.3,0,0,0,0,11667.5,0,0,0,0,10063.2,0,0,0,0,0,0
BEN,Benin,EN.ATM.METH.KT.CE,"Methane (CH4) emissions, total (KtCO2e)",0,1,4847.3,0,0,0,0,4638,0,0,0,0,4216.1,0,0,0,0,4080.4,0,0,0,0,0,0
BFA,Burkina Faso,EN.ATM.METH.KT.CE,"Methane (CH4) emissions, total (KtCO2e)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGD,Bangladesh,EN.ATM.METH.KT.CE,"Methane (CH4) emissions, total (KtCO2e)",0,1,86756.7,0,0,0,0,85075.8,0,0,0,0,88869.6,0,0,0,0,92413.9,0,0,0,0,0,0
BGR,Bulgaria,EN.ATM.METH.KT.CE,"Methane (CH4) emissions, total (KtCO2e)",0,1,14451,0,0,0,0,11846,0,0,0,0,11722,0,0,0,0,10866.5,0,0,0,0,0,0
BHR,Bahrain,EN.ATM.METH.KT.CE,"Methane (CH4) emissions, total (KtCO2e)",0,1,1785.7,0,0,0,0,1930.9,0,0,0,0,2368.5,0,0,0,0,2765.5,0,0,0,0,0,0
BHS,"Bahamas, The",EN.ATM.METH.KT.CE,"Methane (CH4) emissions, total (KtCO2e)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIH,Bosnia and Herzegovina,EN.ATM.METH.KT.CE,"Methane (CH4) emissions, total (KtCO2e)",0,1,5891,0,0,0,0,1635.1,0,0,0,0,2763.3,0,0,0,0,2740.7,0,0,0,0,0,0
BLR,Belarus,EN.ATM.METH.KT.CE,"Methane (CH4) emissions, total (KtCO2e)",0,1,17112.2,0,0,0,0,12998.6,0,0,0,0,11282.8,0,0,0,0,11497.9,0,0,0,0,0,0
BLZ,Belize,EN.ATM.METH.KT.CE,"Methane (CH4) emissions, total (KtCO2e)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMU,Bermuda,EN.ATM.METH.KT.CE,"Methane (CH4) emissions, total (KtCO2e)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOL,Bolivia,EN.ATM.METH.KT.CE,"Methane (CH4) emissions, total (KtCO2e)",0,1,23192.8,0,0,0,0,23477.4,0,0,0,0,20248.9,0,0,0,0,30349.8,0,0,0,0,0,0
BRA,Brazil,EN.ATM.METH.KT.CE,"Methane (CH4) emissions, total (KtCO2e)",0,1,314736.9,0,0,0,0,352060.1,0,0,0,0,345192.9,0,0,0,0,492159.7,0,0,0,0,0,0
BRB,Barbados,EN.ATM.METH.KT.CE,"Methane (CH4) emissions, total (KtCO2e)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN,Brunei Darussalam,EN.ATM.METH.KT.CE,"Methane (CH4) emissions, total (KtCO2e)",0,1,3700.8,0,0,0,0,5990.6,0,0,0,0,4994.9,0,0,0,0,5770.8,0,0,0,0,0,0
BTN,Bhutan,EN.ATM.METH.KT.CE,"Methane (CH4) emissions, total (KtCO2e)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,Botswana,EN.ATM.METH.KT.CE,"Methane (CH4) emissions, total (KtCO2e)",0,1,5812.4,0,0,0,0,5172,0,0,0,0,3825.5,0,0,0,0,4500.5,0,0,0,0,0,0
CAF,Central African Republic,EN.ATM.METH.KT.CE,"Methane (CH4) emissions, total (KtCO2e)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
