Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,EN.ATM.NOXE.KT.CE,"Nitrous oxide (N2O) emissions, total (KtCO2e)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADO,Andorra,EN.ATM.NOXE.KT.CE,"Nitrous oxide (N2O) emissions, total (KtCO2e)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,EN.ATM.NOXE.KT.CE,"Nitrous oxide (N2O) emissions, total (KtCO2e)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,Angola,EN.ATM.NOXE.KT.CE,"Nitrous oxide (N2O) emissions, total (KtCO2e)",0,1,41666.7,0,0,0,0,36059.5,0,0,0,0,36804.2,0,0,0,0,38880.5,0,0,0,0,0,0
ALB,Albania,EN.ATM.NOXE.KT.CE,"Nitrous oxide (N2O) emissions, total (KtCO2e)",0,1,1274,0,0,0,0,973.9,0,0,0,0,1234.4,0,0,0,0,1035.8,0,0,0,0,0,0
ARE,United Arab Emirates,EN.ATM.NOXE.KT.CE,"Nitrous oxide (N2O) emissions, total (KtCO2e)",0,1,654.2,0,0,0,0,901,0,0,0,0,1010.8,0,0,0,0,1169.3,0,0,0,0,0,0
ARG,Argentina,EN.ATM.NOXE.KT.CE,"Nitrous oxide (N2O) emissions, total (KtCO2e)",0,1,38443.4,0,0,0,0,38339.2,0,0,0,0,41822.9,0,0,0,0,49821,0,0,0,0,0,0
ARM,Armenia,EN.ATM.NOXE.KT.CE,"Nitrous oxide (N2O) emissions, total (KtCO2e)",0,1,800.9,0,0,0,0,465.5,0,0,0,0,456.6,0,0,0,0,580.2,0,0,0,0,0,0
ASM,American Samoa,EN.ATM.NOXE.KT.CE,"Nitrous oxide (N2O) emissions, total (KtCO2e)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,EN.ATM.NOXE.KT.CE,"Nitrous oxide (N2O) emissions, total (KtCO2e)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,EN.ATM.NOXE.KT.CE,"Nitrous oxide (N2O) emissions, total (KtCO2e)",0,1,63028.4,0,0,0,0,57651.2,0,0,0,0,75356.4,0,0,0,0,62965.6,0,0,0,0,0,0
AUT,Austria,EN.ATM.NOXE.KT.CE,"Nitrous oxide (N2O) emissions, total (KtCO2e)",0,1,5144.3,0,0,0,0,4799.6,0,0,0,0,4600.3,0,0,0,0,4448.2,0,0,0,0,0,0
AZE,Azerbaijan,EN.ATM.NOXE.KT.CE,"Nitrous oxide (N2O) emissions, total (KtCO2e)",0,1,2623.2,0,0,0,0,1832,0,0,0,0,2083.9,0,0,0,0,2633.1,0,0,0,0,0,0
BDI,Burundi,EN.ATM.NOXE.KT.CE,"Nitrous oxide (N2O) emissions, total (KtCO2e)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEL,Belgium,EN.ATM.NOXE.KT.CE,"Nitrous oxide (N2O) emissions, total (KtCO2e)",0,1,9074.9,0,0,0,0,6285.2,0,0,0,0,6148.1,0,0,0,0,6570.8,0,0,0,0,0,0
BEN,Benin,EN.ATM.NOXE.KT.CE,"Nitrous oxide (N2O) emissions, total (KtCO2e)",0,1,3695.4,0,0,0,0,3569,0,0,0,0,3332.7,0,0,0,0,2902.1,0,0,0,0,0,0
BFA,Burkina Faso,EN.ATM.NOXE.KT.CE,"Nitrous oxide (N2O) emissions, total (KtCO2e)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGD,Bangladesh,EN.ATM.NOXE.KT.CE,"Nitrous oxide (N2O) emissions, total (KtCO2e)",0,1,15045.4,0,0,0,0,18233.4,0,0,0,0,19485.5,0,0,0,0,21385.5,0,0,0,0,0,0
BGR,Bulgaria,EN.ATM.NOXE.KT.CE,"Nitrous oxide (N2O) emissions, total (KtCO2e)",0,1,9442.7,0,0,0,0,5080.1,0,0,0,0,4561.2,0,0,0,0,4227.2,0,0,0,0,0,0
BHR,Bahrain,EN.ATM.NOXE.KT.CE,"Nitrous oxide (N2O) emissions, total (KtCO2e)",0,1,47.6,0,0,0,0,53.1,0,0,0,0,62.9,0,0,0,0,81.9,0,0,0,0,0,0
BHS,"Bahamas, The",EN.ATM.NOXE.KT.CE,"Nitrous oxide (N2O) emissions, total (KtCO2e)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIH,Bosnia and Herzegovina,EN.ATM.NOXE.KT.CE,"Nitrous oxide (N2O) emissions, total (KtCO2e)",0,1,2021.1,0,0,0,0,789.7,0,0,0,0,1707.5,0,0,0,0,1196.2,0,0,0,0,0,0
BLR,Belarus,EN.ATM.NOXE.KT.CE,"Nitrous oxide (N2O) emissions, total (KtCO2e)",0,1,16280,0,0,0,0,10910.8,0,0,0,0,10665.9,0,0,0,0,11680.2,0,0,0,0,0,0
BLZ,Belize,EN.ATM.NOXE.KT.CE,"Nitrous oxide (N2O) emissions, total (KtCO2e)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMU,Bermuda,EN.ATM.NOXE.KT.CE,"Nitrous oxide (N2O) emissions, total (KtCO2e)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOL,Bolivia,EN.ATM.NOXE.KT.CE,"Nitrous oxide (N2O) emissions, total (KtCO2e)",0,1,14623.9,0,0,0,0,12939.4,0,0,0,0,11274.7,0,0,0,0,15091.8,0,0,0,0,0,0
