Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADO,Andorra,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87,4.18,0,0,0,0
AFG,Afghanistan,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0
AGO,Angola,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0,0,0,0,0,0,0
ALB,Albania,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05,4.03,0,0,0,0
ARE,United Arab Emirates,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.52,0,4.568,0,0,4.09,0,0,0,0
ARG,Argentina,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",0,1,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0.48,0,0,0,0,0,0,0
ARM,Armenia,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92,4.87,0,0,0,0
ASM,American Samoa,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,SH.MED.NUMW.P3,"Nurses and midwives (per 1,000 people)",0,1,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0
