Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,EN.ATM.GHGO.KT.CE,"Other GHG emissions, total (KtCO2e)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADO,Andorra,EN.ATM.GHGO.KT.CE,"Other GHG emissions, total (KtCO2e)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,EN.ATM.GHGO.KT.CE,"Other GHG emissions, total (KtCO2e)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,Angola,EN.ATM.GHGO.KT.CE,"Other GHG emissions, total (KtCO2e)",0,1,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,19.5,0,0,0,0,0,0
ALB,Albania,EN.ATM.GHGO.KT.CE,"Other GHG emissions, total (KtCO2e)",0,1,0,0,0,0,0,2.7,0,0,0,0,15.5,0,0,0,0,62.3,0,0,0,0,0,0
ARE,United Arab Emirates,EN.ATM.GHGO.KT.CE,"Other GHG emissions, total (KtCO2e)",0,1,843.4,0,0,0,0,596.9,0,0,0,0,878.1,0,0,0,0,1074.5,0,0,0,0,0,0
ARG,Argentina,EN.ATM.GHGO.KT.CE,"Other GHG emissions, total (KtCO2e)",0,1,2296.4,0,0,0,0,514.1,0,0,0,0,624.8,0,0,0,0,785.1,0,0,0,0,0,0
ARM,Armenia,EN.ATM.GHGO.KT.CE,"Other GHG emissions, total (KtCO2e)",0,1,0,0,0,0,0,6.8,0,0,0,0,42,0,0,0,0,335.1,0,0,0,0,0,0
ASM,American Samoa,EN.ATM.GHGO.KT.CE,"Other GHG emissions, total (KtCO2e)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,EN.ATM.GHGO.KT.CE,"Other GHG emissions, total (KtCO2e)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,EN.ATM.GHGO.KT.CE,"Other GHG emissions, total (KtCO2e)",0,1,4872.8,0,0,0,0,3302.1,0,0,0,0,4198.9,0,0,0,0,6505.3,0,0,0,0,0,0
AUT,Austria,EN.ATM.GHGO.KT.CE,"Other GHG emissions, total (KtCO2e)",0,1,1592.6,0,0,0,0,1426.1,0,0,0,0,1501.3,0,0,0,0,2328.6,0,0,0,0,0,0
AZE,Azerbaijan,EN.ATM.GHGO.KT.CE,"Other GHG emissions, total (KtCO2e)",0,1,175.6,0,0,0,0,25.2,0,0,0,0,41.3,0,0,0,0,88.7,0,0,0,0,0,0
BDI,Burundi,EN.ATM.GHGO.KT.CE,"Other GHG emissions, total (KtCO2e)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
