Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,IS.ROD.PAVE.ZS,Paved roads (% of total roads),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADO,Andorra,IS.ROD.PAVE.ZS,Paved roads (% of total roads),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,IS.ROD.PAVE.ZS,Paved roads (% of total roads),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6599998474121,27.4594287872314,29.3,0,0,0,0,0
AGO,Angola,IS.ROD.PAVE.ZS,Paved roads (% of total roads),0,1,0,0,0,0,0,0,0,0,0,10.3999996185303,10.3999996185303,10.3999996185303,0,0,0,0,0,0,0,0,0,0
ALB,Albania,IS.ROD.PAVE.ZS,Paved roads (% of total roads),0,1,0,0,0,0,0,39,39,39,39,39,39,39,39,0,0,0,0,0,0,0,0,0
ARE,United Arab Emirates,IS.ROD.PAVE.ZS,Paved roads (% of total roads),0,1,94.1999969482422,96.0999984741211,98,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0
ARG,Argentina,IS.ROD.PAVE.ZS,Paved roads (% of total roads),0,1,28.5,28.5,28.5,28.6000003814697,28.7000007629395,29.1000003814697,29.1000003814697,29.5,29.5,29.3999996185303,29.3999996185303,0,0,30,0,0,0,0,0,0,0,0
ARM,Armenia,IS.ROD.PAVE.ZS,Paved roads (% of total roads),0,1,99.1999969482422,96.5999984741211,96.6999969482422,96.6999969482422,97,96.6999969482422,96.6999969482422,96.8000030517578,96.8000030518,0,0,0,0,91.2699966430664,90.120002746582,89.9700012207031,88.9789962768555,89.04,90.52,0,0,0
ASM,American Samoa,IS.ROD.PAVE.ZS,Paved roads (% of total roads),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,IS.ROD.PAVE.ZS,Paved roads (% of total roads),0,1,0,0,0,0,0,0,0,0,0,0,0,0,32.9599990844727,0,0,0,0,0,0,0,0,0
