Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADO,Andorra,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,0,0,0,0,0,2.231,0,2.435,2.47,2.594,2.549,2.594,0,3.697,0,0,3.64,3.716,0,0,0,0
AFG,Afghanistan,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,0.1092000008,0,0,0.1428000033,0,0,0,0.11,0,0,0,0.186,0,0,0,0.2,0,0,0,0.21,0,0
AGO,Angola,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,0.0421000011,0,0,0,0,0,0,0.077,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0
ALB,Albania,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,1.3740999699,1.4702999592,1.6500999928,1.4254000187,1.3153990507,1.306,1.354,1.295,1.289,1.282,1.389,0,1.305,0,0,0,1.15,1.146,0,0,0,0
ARE,United Arab Emirates,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,0.8274999857,0,0.8399999738,0,0,0,0,1.81,0,0,0,2.023,1.69,0,0,1.545,0,1.93,0,0,0,0
ARG,Argentina,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,2.6800000668,0,2.6840000153,0,0,2.68,0,0,3.01,0,0,0,0,0,3.155,3.21,0,0,0,0,0,0
ARM,Armenia,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,3.9244000912,3.701499939,3.5969998837,3.3454999924,3.1221001148,3.042,3.591,3.156,3.156,3.051,2.987,3.526,0,3.588,0,0,3.7,3.697,0,0,0,0
ASM,American Samoa,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,0,0,0,0,0,0,0,0,0,0.781,0,0,0,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,0.7599999905,0.9185000062,0,3.030299902,0,0.76,1.141,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,2.2,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.5,2.47,2.5,0,0,0,0.963,0,0,2.991,0,0
AUT,Austria,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.1,3.1,3.2,3.3,3.3,3.4,0,0,3.66,3.794,0,4.749,0,0
AZE,Azerbaijan,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,3.9172000885,3.9163999557,3.8812999725,3.9277000427,3.8961000443,3.925,3.899,3.831,3.602,3.521,3.607,3.536,0,3.547,0,0,3.63,3.794,0,0,0,0
BDI,Burundi,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,0.0581,0.058699999,0,0.056499999,0,0.055,0,0,0,0,0.052,0,0,0,0.03,0,0,0,0,0,0,0
BEL,Belgium,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,3.3,3.3,3.4,3.4,3.5,3.5,3.6,3.7,3.7,3.8,3.9,3.9,3.9,0,0,0,4.23,0,2.987,0,0,0
BEN,Benin,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,0.0505000018,0.0421999991,0.0551000014,0.057,0.060800001,0.058,0,0,0,0,0,0,0,0,0.04,0,0,0,0.059,0,0,0
BFA,Burkina Faso,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,0,0,0,0,0,0.034,0.035,0.038,0,0,0,0.04,0,0,0.05,0,0,0,0.064,0,0,0
BGD,Bangladesh,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,0.176699996,0.1884000003,0,0,0,0.201,0,0.2,0,0,0,0.231,0,0,0.257,0.3,0,0.295,0,0,0,0
BGR,Bulgaria,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,3.1696000099,2.9793000221,3.1661000252,3.3587999344,3.3273000717,3.458,3.539,3.447,3.449,3.463,3.399,3.384,0,3.562,0,0,3.66,3.665,3.635,0,0,0
BHR,Bahrain,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,0,1.3150000572,0,0.1098999977,0,0,0,1,0,0,0,1.596,0,0,1.087,2.72,0,2.965,1.442,0,0,0
BHS,"Bahamas, The",SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,1.2900999784,0,0,1.4457000494,0,1.49,1.518,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0
BIH,Bosnia and Herzegovina,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,1.570299983,1.5551999807,0,0,0,0,0,0,1.427,1.401,1.422,1.338,0,1.34,0,1.4179,0,0,0,0,0,0
BLR,Belarus,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,3.5604000092,3.5764000416,3.6382000446,4.0762000084,4.1424999237,4.155,4.286,4.365,4.431,4.551,4.579,4.497,4.52589255046168,4.55,4.62240181222641,4.68,4.78,4.869,4.98,5.11,0,0
BLZ,Belize,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,0.6391999722,0,0,0.4927000105,0,0.6,0.548,0,0,0,1.05,0,0,0,0,0,0,0,0,0.828,0,0
BMU,Bermuda,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,0,0,0,0,0,1.2,0,1.766,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOL,Bolivia,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,0.4499999881,0,0,0.4259000123,0,0.34,0,1.299,0,0,0,1.22,0,0,0,0,0,0,0,0,0,0
BRA,Brazil,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,1.3600000143,0,0,0,0,1.31,1.272,1.308,0,1.396,1.15,0,0,0,0,0,1.694,1.72,0,0,0,0
BRB,Barbados,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,1.1395000219,0,0,1.2539999485,0,1.28,0,0,0,1.21,0,0,0,0,0,1.811,0,0,0,0,0,0
BRN,Brunei Darussalam,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,0,0.7462000251,0,0,0,0,0.848,0,0,0,1.006,0,1.14,0,0,0,0,0,1.417,0,0,0
BTN,Bhutan,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,0.3332999945,0,0,0,0.1703999937,0.16,0,0,0,0.051,0,0,0,0,0.051,0,0,0.023,0,0,0,0
BWA,Botswana,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,0,0,0,0.1941000074,0.2380000055,0,0,0,0,0.288,0,0,0,0,0.4,0,0.336,0,0,0,0,0
CAF,Central African Republic,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,0.0384000018,0,0,0.0551999994,0,0.035,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0
CAN,Canada,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,2.1,2.1,2.1,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,0,0,1.9132,0,0,0,0,0
CHE,Switzerland,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,3,3,3,3.1,3.1,3.2,3.2,3.3,3.3,3.4,3.5,3.5,3.6,0,0,0,3.97,0,0,4.07,0,0
CHI,Channel Islands,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHL,Chile,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,1.1000000238,1.0663000345,0,0,1.1030000448,1.08,0,0,1.153,0,0,0,0,1.09,0,0,1.28369704749679,0,0,0,0,0
CHN,China,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,1.5499999523,1.5499999523,1.5499999523,1.5499999523,1.5800000429,1.59,1.59,1.61,1.61,1.67,1.64,1.055,1.642,1.42,0,1.51,0,0,0,1.415,0,0
CIV,Cote d'Ivoire,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,0.0877000019,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0.12,0,0,0,0.144,0,0,0
CMR,Cameroon,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,0.0824000016,0,0.0837000012,0.0728999972,0,0,0.074,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0
COG,"Congo, Rep.",SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,0.2761000097,0,0,0,0,0.251,0,0,0,0,0,0,0,0,0.2,0,0,0.095,0,0,0,0
COK,Cook Islands,SH.MED.PHYS.ZS,"Physicians (per 1,000 people)",0,1,0,0,0,0,0,0,0,0,0,0,0,0.7777778,0,0,1.1764,0,0,0,0,0,0,0
