Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,SP.POP.TOTL,Population,0,0,62147,64642,68286,72573,76762,80323,83069,85161,86827,88442,90271,92363,94596,96875,99046,100996,102711,104225,105526,106612,107488,0
ADO,Andorra,SP.POP.TOTL,Population,0,0,52773,54996,57767,60670,63111,64699,65227,64905,64246,63985,64634,66390,69043,72203,75292,77888,79874,81390,82577,83677,84864,0
AFG,Afghanistan,SP.POP.TOTL,Population,0,0,19023678,19668810.2867046,20335820.3442245,21025450.0930397,21738466.6136892,22475663,23131309.0617483,23806081.2226148,24500537.4172672,25215251.8560959,25950815.5,26697430.193609,27465525.2719371,28255718.7337078,29068646.3576999,29904962.2142857,30751661.4094588,31622333.1989448,32517656.3188065,33438328.7221609,34385068.1232714,0
AGO,Angola,SP.POP.TOTL,Population,0,0,10335052,10653515,11002910,11371750,11742960,12105105,12452725,12792237,13138265,13511575,13926373,14388244,14890474,15419943,15957460,16489021,17010366,17525367,18037964,18555115,19081912,0
ALB,Albania,SP.POP.TOTL,Population,0,0,3289483,3291695,3266983,3224901,3179442,3141102,3112597,3091902,3079037,3072725,3071856,3077378,3089778,3106701,3124861,3141800,3156607,3169665,3181397,3192723,3204284,0
ARE,United Arab Emirates,SP.POP.TOTL,Population,0,0,1808642,1909812,2014095,2121704,2232980,2348539,2473983,2611610,2755497,2897038,3033491,3149440,3254691,3400959,3658042,4069349,4662728,5405541,6206623,6938815,7511690,0
ARG,Argentina,SP.POP.TOTL,Population,0,0,32642442,33093579,33540023,33982035,34420352,34855160,35287113,35714929,36134642,36541029,36930709,37302116,37657340,38001251,38340778,38681174,39023850,39368066,39714298,40062470,40412376,0
ARM,Armenia,SP.POP.TOTL,Population,0,0,3544695,3512051,3449940,3370373,3290540,3223173,3172185,3134836,3109101,3090624,3076098,3065810,3061067,3060554,3062612,3065954,3069844,3074181,3079087,3084979,3092072,0
ASM,American Samoa,SP.POP.TOTL,Population,0,0,47052,48402,49648,50801,51885,52919,53901,54834,55745,56667,57625,58633,59687,60774,61871,62962,64045,65130,66217,67312,68420,0
ATG,Antigua and Barbuda,SP.POP.TOTL,Population,0,0,62202,62754,63802,65238,66895,68642,70450,72322,74190,75985,77656,79165,80507,81716,82838,83916,84952,85935,86881,87802,88710,0
AUS,Australia,SP.POP.TOTL,Population,0,0,17065100,17284000,17495000,17667000,17855000,18072000,18311000,18517000,18711000,18926000,19153000,19413000,19651400,19895400,20127400,20394800,20697900,21072500,21498500,21951700,22328800,0
AUT,Austria,SP.POP.TOTL,Population,0,0,7710882,7798899,7782519,7928746,7928746,7953067,7964966,7971116,7982461,8002186,8011560.50891186,8043015.63768939,8083639.29752868,8117800,8174700,8233300,8282424,8300788,8336926,8365275,8384745,0
AZE,Azerbaijan,SP.POP.TOTL,Population,0,0,7159000,7271000,7382000,7495000,7597000,7685000,7763000,7838000,7913000,7983000,8048534.78590979,8111143.77877744,8171892.8957739,8234039.36412743,8306399.79834826,8391850,8484550,8581300,8763400,8947150,9047932,0
BDI,Burundi,SP.POP.TOTL,Population,0,0,5601720,5724030,5835071,5933293,6017127,6086751,6140258,6181493,6223515,6283662,6374347,6499653,6656071,6838764,7039534,7251424,7474363,7707781,7943385,8170853,8382849,0
BEL,Belgium,SP.POP.TOTL,Population,0,0,9967400,10004500,10045000,10084500,10115600,10136800,10157000,10181000,10203000,10226000,10252000,10287000,10333000,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10879159,0
BEN,Benin,SP.POP.TOTL,Population,0,0,4773137,4934077,5108335,5290562,5473217,5651141,5821985,5988093,6154708,6329476,6517810,6721337,6937985,7164976,7397985,7633757,7871707,8112573,8355980,8601771,8849892,0
BFA,Burkina Faso,SP.POP.TOTL,Population,0,0,9323996,9580035,9844931,10118634,10401025,10692138,10992170,11301608,11621159,11951701,12294012,12648474,13015435,13395599,13789736,14198463,14622202,15061127,15515258,15984479,16468714,0
BGD,Bangladesh,SP.POP.TOTL,Population,0,0,105256026,107768749,110225555,112645460,115059015,117486952,119928682,122370403,124803351,127214841,129592275,131944584,134266428,136514768,138633401,140587922,142353501,143956805,145478300,147030145,148692131,0
BGR,Bulgaria,SP.POP.TOTL,Population,0,0,8718000,8632000,8540000,8472000,8435000,8400000,8356000,8312068,8257000,8208000,8060000,7910000,7869000,7823000,7781161,7739900,7699020,7659764,7623395,7585131,7543325,0
BHR,Bahrain,SP.POP.TOTL,Population,0,0,492891,506685,519696,532362,545329,559069,574914,592986,611237,626765,638193,642510,642070,647164,671760,724807,811410,925733,1052359,1169578,1261835,0
BHS,"Bahamas, The",SP.POP.TOTL,Population,0,0,256128,260845,265761,270701,275426,279774,283677,287217,290571,293988,297651,301606,305801,310201,314739,319358,324066,328861,333661,338358,342877,0
BIH,Bosnia and Herzegovina,SP.POP.TOTL,Population,0,0,4308197,4157485,3931372,3677379,3462032,3332098,3305672,3365616,3480285,3601438,3693698,3748370,3775883,3782717,3781358,3781001,3781588,3779034,3774164,3767683,3760149,0
BLR,Belarus,SP.POP.TOTL,Population,0,0,10189000,10194000,10216000,10239000,10227000,10194000,10160000,10117000,10069000,10035000,10005000,9970260.05529868,9925000,9873968.35117472,9824469.45132408,9775591.4938548,9732500,9702000,9602000,9507000,9490500,0
BLZ,Belize,SP.POP.TOTL,Population,0,0,189000,194000,199000,205000,211000,216500,222000,230000,238500,243100,249800,257300,265200,273700,282600,291800,301386,311500,322100,333200,344700,0
BMU,Bermuda,SP.POP.TOTL,Population,0,0,60500,61000,61000,61000,61300,61700,61785.9601475312,61872.0400543326,61958.239887252,62044.55981337,62131,62460,62750,63040,63320,63570,63800,64000,64200,64400,64600,0
BOL,Bolivia,SP.POP.TOTL,Population,0,0,6658462,6813834,6974168,7138204,7304230,7470925,7637622,7804333,7971237,8138802,8307248,8476709,8646659,8815911,8982917,9146655,9306660,9463497,9618466,9773441,9929849,0
BRA,Brazil,SP.POP.TOTL,Population,0,0,149650206,152146887,154582103,156985824,159398558,161848162,164342524,166869168,169409713,171936271,174425387,176877135,179289227,181633074,183873377,185986964,187958211,189798070,191543237,193246610,194946470,0
BRB,Barbados,SP.POP.TOTL,Population,0,0,259501,260351,261136,261885,262637,263416,264237,265088,265941,266758,267511,268192,268813,269389,269947,270503,271062,271618,272180,272750,273331,0
BRN,Brunei Darussalam,SP.POP.TOTL,Population,0,0,252125,259357,266794,274371,282000,289614,297188,304726,312216,319654,327036,334348,341585,348771,355943,363123,370317,377513,384695,391837,398920,0
BTN,Bhutan,SP.POP.TOTL,Population,0,0,558500,555747,546356,533895,523417,518584,520529,528222,540507,555377,571262,588050,606024,624431,642400,659293,674681,688581,701363,713665,725940,0
BWA,Botswana,SP.POP.TOTL,Population,0,0,1382371,1423570,1464924,1506037,1546414,1585637,1623704,1660538,1695587,1728179,1757925,1784449,1808103,1830127,1852243,1875673,1900905,1927540,1954822,1981576,2006945,0
CAF,Central African Republic,SP.POP.TOTL,Population,0,0,2934777,3007347,3084958,3165869,3247456,3327710,3406451,3484027,3559604,3632287,3701607,3767068,3829238,3890075,3952281,4017880,4087534,4160940,4237961,4318128,4401051,0
CAN,Canada,SP.POP.TOTL,Population,0,0,27791000,28171681.963727,28519597.3575112,28833410.3605443,29111906.4041261,29354000,29671900,29987200,30247900,30499200,30769700,31081900,31362000,31676000,31995000,32312000,32649000,32976000,33311400,33739900,34108752,0
CHE,Switzerland,SP.POP.TOTL,Population,0,0,6712000,6800000,6875000,6938000,6994000,7041000,7074000,7088000,7110000,7140000,7184222.20010072,7229807.96929732,7284694.87768767,7338957.41520851,7389581.08170524,7437115,7483934,7551117,7647675,7743831,7825243,0
CHI,Channel Islands,SP.POP.TOTL,Population,0,0,140137,140804,141179,141384,141594,141934,142448,143102,143847,144607,145330,145995,146626,147262,147963,148763,149682,150689,151705,152618,153352,0
CHL,Chile,SP.POP.TOTL,Population,0,0,13187821,13429315,13678373,13929390,14174890,14409416,14630769,14840038,15039162,15231557,15419820,15604200,15783991,15959793,16132209,16301726,16468677,16633254,16795593,16955737,17113688,0
CHN,China,SP.POP.TOTL,Population,0,0,1135185000,1150780000,1164970000,1178440000,1191835000,1204855000,1217550000,1230075000,1241935000,1252735000,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331380000,1338299511.50477,0
CIV,Cote d'Ivoire,SP.POP.TOTL,Population,0,0,12517730,12945880,13381799,13820229,14253952,14677200,15089912,15492127,15878555,16242889,16581653,16892864,17180649,17455501,17731840,18020946,18325979,18646754,18987007,19350026,19737800,0
CMR,Cameroon,SP.POP.TOTL,Population,0,0,12180819,12529904,12882506,13236573,13589699,13940337,14287475,14631908,14976200,15324051,15678269,16039737,16408085,16783366,17165267,17553589,17948395,18350022,18758778,19175028,19598889,0
COG,"Congo, Rep.",SP.POP.TOTL,Population,0,0,2388902,2453938,2520196,2588270,2658948,2732706,2810118,2890841,2973329,3055437,3135773,3213330,3288923,3365171,3445765,3533177,3628561,3730612,3836339,3941454,4042899,0
COK,Cook Islands,SP.POP.TOTL,Population,0,0,17614,17730,17909,18105,18252,18307,18246,18095,17919,17808,17830,18007,18311,18693,19075,19402,19659,19861,20019,20156,20288,0
COL,Colombia,SP.POP.TOTL,Population,0,0,33203321,33849971,34497319,35146220,35797965,36453337,37112621,37775054,38439099,39102653,39764166,40422597,41078136,41731914,42385712,43040558,43696540,44352327,45005782,45654044,46294841,0
COM,Comoros,SP.POP.TOTL,Population,0,0,437876,448576,459515,470765,482401,494486,507062,520151,533754,547864,562469,577569,593170,609271,625876,642974,660559,678602,697034,715774,734750,0
CPV,Cape Verde,SP.POP.TOTL,Population,0,0,348165,355655,364727,374820,385101,394946,404166,412893,421203,429278,437238,445096,452740,460031,466784,472883,478267,483023,487371,491621,495999,0
CRI,Costa Rica,SP.POP.TOTL,Population,0,0,3070240,3147451,3224849,3303412,3384498,3468918,3557095,3648263,3740578,3831504,3919180,4002946,4083197,4160438,4235605,4309413,4381820,4452608,4522124,4590790,4658887,0
CUB,Cuba,SP.POP.TOTL,Population,0,0,10570328,10654121,10727088,10790686,10847842,10900795,10949206,10992290,11031429,11068382,11104313,11140168,11175434,11208029,11234970,11254242,11265124,11268687,11266905,11262628,11257979,0
CUW,Curacao,SP.POP.TOTL,Population,0,0,0,0,0,0,0,0,0,0,144472,139428.419298219,133860.22007303,128752.12514751,128182,130006,131591.063180598,134464.663121306,137490,139841,141279,141972,142668.399295012,0
CYM,Cayman Islands,SP.POP.TOTL,Population,0,0,26048,27363,28710,30074,31437,32792,34096,35361,36704,38284,40195,42501,45117,47815,50273,52268,53712,54679,55295,55763,56230,0
CYP,Cyprus,SP.POP.TOTL,Population,0,0,766663,783189,800707,818858,837205,855424,873277,890758,908059,925504,943294,961482,979874,998134,1015806,1032562,1048272,1063027,1077001,1090473,1103647,0
CZE,Czech Republic,SP.POP.TOTL,Population,0,0,10363000,10309000,10318000,10331000,10336000,10331000,10315000,10304100,10294900,10283000,10273300,10224000,10204853,10207362,10216016,10235828,10269134,10334160,10424336,10487178,10525090,0
DEU,Germany,SP.POP.TOTL,Population,0,0,79433000,80014000,80624000,81156000,81516000,81642000,81912000,82071000,82047000,82087000,82210000,82333000,82508000,82541000,82516250,82469400,82376451,82266372,82110097,81902307,81702329,0
DJI,Djibouti,SP.POP.TOTL,Population,0,0,562290,581641,594437,603534,613219,626537,644434,665755,688940,711573,731930,749604,765283,779640,793738,808367,823682,839453,855636,872090,888716,0
DMA,Dominica,SP.POP.TOTL,Population,0,0,70926,70842,70962,71181,71350,71364,71184,70846,70419,70003,69672,69447,69301,69200,69087,68925,68700,68434,68159,67922,67757,0
DNK,Denmark,SP.POP.TOTL,Population,0,0,5140000,5154000,5170000,5189000,5205000,5228000,5262000,5284220,5301000,5319111,5337344,5355082,5374255,5387174,5401177,5415978,5437272,5461438,5493621,5523095,5544139,0
DOM,Dominican Republic,SP.POP.TOTL,Population,0,0,7194666,7339826,7485619,7631076,7774932,7916309,8054768,8190620,8324680,8458164,8591967,8726256,8860760,8995398,9129965,9264267,9398285,9531954,9664948,9796852,9927320,0
DZA,Algeria,SP.POP.TOTL,Population,0,0,25299182,25930560,26557969,27169903,27751086,28291591,28786855,29242917,29673694,30099010,30533827,30982214,31441848,31913462,32396048,32888449,33391954,33906605,34428028,34950168,35468208,0
EAP,East Asia & Pacific,SP.POP.TOTL,Population,0,0,1604404741,1628544768,1651083620,1672764972,1694312969,1715490343,1736358710,1757050090,1777061068,1795957680,1813787323,1830801612,1847023163,1862608056,1877766566,1892713990,1907093067,1920855865,1934402219,1947868123,1961557074.92315,0
ECA,Europe & Central Asia,SP.POP.TOTL,Population,0,0,391814664,393966669.738648,395314578.253936,396435301.479299,396976539.47335,397259057.585378,397448669.442962,397684031.811401,397808834.255141,397830234.845574,398415515.428426,398486738.747111,398328964.191383,398480003.463898,398711667.458288,399131595.493855,399699813,400624467,401949352,403474799.857874,405093570.868526,0
ECU,Ecuador,SP.POP.TOTL,Population,0,0,10260587,10493498,10725281,10953182,11173647,11384506,11584074,11774005,11959586,12148188,12345023,12552036,12767415,12987992,13208869,13426402,13639708,13849721,14056740,14261566,14464739,0
EGY,"Egypt, Arab Rep.",SP.POP.TOTL,Population,0,0,56843275,57952386,59004372,60020423,61032081,62063810,63120498,64199588,65309201,66457136,67648419,68888032,70174632,71498433,72844998,74203215,75568453,76941572,78323298,79716203,81121077,0
EMU,Euro area,SP.POP.TOTL,Population,0,0,304708869,306153775.424486,307525663.961845,308867378.57473,309899710.737778,310669023,311537706,312357860,313030187,313797240.021252,315014558.80444,316440215.554189,318231185.188942,320198828.721114,322259053.598621,324202166,325976778,327810899,329523510,330751615,331675464.433712,0
ERI,Eritrea,SP.POP.TOTL,Population,0,0,3158295,3180430,3184019,3180541,3186063,3212503,3263016,3335157,3428264,3539885,3667576,3812473,3973973,4145500,4318343,4486155,4645837,4798561,4947521,5097998,5253676,0
ESP,Spain,SP.POP.TOTL,Population,0,0,38836000,38939050,39067750,39189400,39294950,39387000,39478150,39582400,39721100,39926250,40263200,40720450,41313950,42004500,42691650,43398150,44116441,44878945,45555716,45908594,46081574,0
EST,Estonia,SP.POP.TOTL,Population,0,0,1569000,1561000,1533000,1494000,1463000,1437000,1416000,1400000,1386200,1375649.33388818,1369512.61479732,1364097.50497463,1358641.01509192,1353520.14946213,1348998.5174195,1346097,1343547,1341672,1340675,1340271,1339646,0
ETH,Ethiopia,SP.POP.TOTL,Population,0,0,48333261,49998845,51730288,53502211,55281054,57042197,58774378,60481739,62174171,63868806,65577897,67303731,69040669,70784012,72526620,74263861,75993403,77718436,79446419,81187751,82949541,0
FIN,Finland,SP.POP.TOTL,Population,0,0,4986000,5014000,5042000,5066000,5089000,5108000,5125000,5139835,5153000,5165446.68736403,5176197.68073052,5187995.41152457,5200596.87632102,5212995.69441602,5228143.17133722,5246096,5266268,5288720,5313399,5338871,5363624,0
FJI,Fiji,SP.POP.TOTL,Population,0,0,728390,735262,744396,754981,765725,775651,784713,793165,800685,806927,811718,814780,816336,817339,819102,822553,828046,835267,843651,852323,860623,0
FRA,France,SP.POP.TOTL,Population,0,0,58183174,58454894,58711078,58955673,59194619,59433490,59670985,59909141,60160764,60351778,60762169,61201676,61644062,62078165,62532556,63001253,63437350,63826178,64188219,64542729,64876618.4337123,0
FRO,Faeroe Islands,SP.POP.TOTL,Population,0,0,47558,46995,46050,44953,44022,43483,43416,43746,44358,45070,45743,46358,46944,47472,47915,48258,48475,48572,48597,48625,48708,0
FSM,"Micronesia, Fed. Sts.",SP.POP.TOTL,Population,0,0,96319,98749,101314,103780,105825,107233,107904,107947,107605,107237,107103,107290,107728,108325,108926,109419,109789,110092,110367,110676,111064,0
GAB,Gabon,SP.POP.TOTL,Population,0,0,929044,959631,991289,1023531,1055707,1087327,1118215,1148416,1177936,1206862,1235274,1263165,1290532,1317484,1344171,1370729,1397192,1423637,1450310,1477514,1505463,0
