Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,EN.POP.EL5M.ZS,Population below 5m (% of total),0,1,29.57482,0,0,0,0,0,0,0,0,0,29.57482,0,0,0,0,0,0,0,0,0,0,0
ADO,Andorra,EN.POP.EL5M.ZS,Population below 5m (% of total),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,EN.POP.EL5M.ZS,Population below 5m (% of total),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,Angola,EN.POP.EL5M.ZS,Population below 5m (% of total),0,1,2.057264,0,0,0,0,0,0,0,0,0,2.056975,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,EN.POP.EL5M.ZS,Population below 5m (% of total),0,1,7.40137,0,0,0,0,0,0,0,0,0,8.206302,0,0,0,0,0,0,0,0,0,0,0
ARE,United Arab Emirates,EN.POP.EL5M.ZS,Population below 5m (% of total),0,1,6.900407,0,0,0,0,0,0,0,0,0,7.322541,0,0,0,0,0,0,0,0,0,0,0
ARG,Argentina,EN.POP.EL5M.ZS,Population below 5m (% of total),0,1,4.625538,0,0,0,0,0,0,0,0,0,4.494384,0,0,0,0,0,0,0,0,0,0,0
ARM,Armenia,EN.POP.EL5M.ZS,Population below 5m (% of total),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASM,American Samoa,EN.POP.EL5M.ZS,Population below 5m (% of total),0,1,10.85896,0,0,0,0,0,0,0,0,0,9.855739,0,0,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,EN.POP.EL5M.ZS,Population below 5m (% of total),0,1,32.30729,0,0,0,0,0,0,0,0,0,32.30729,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,EN.POP.EL5M.ZS,Population below 5m (% of total),0,1,7.005713,0,0,0,0,0,0,0,0,0,7.214221,0,0,0,0,0,0,0,0,0,0,0
AUT,Austria,EN.POP.EL5M.ZS,Population below 5m (% of total),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZE,Azerbaijan,EN.POP.EL5M.ZS,Population below 5m (% of total),0,1,29.77825,0,0,0,0,0,0,0,0,0,29.78408,0,0,0,0,0,0,0,0,0,0,0
BDI,Burundi,EN.POP.EL5M.ZS,Population below 5m (% of total),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEL,Belgium,EN.POP.EL5M.ZS,Population below 5m (% of total),0,1,14.5422,0,0,0,0,0,0,0,0,0,14.32144,0,0,0,0,0,0,0,0,0,0,0
BEN,Benin,EN.POP.EL5M.ZS,Population below 5m (% of total),0,1,14.06841,0,0,0,0,0,0,0,0,0,14.06828,0,0,0,0,0,0,0,0,0,0,0
BFA,Burkina Faso,EN.POP.EL5M.ZS,Population below 5m (% of total),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGD,Bangladesh,EN.POP.EL5M.ZS,Population below 5m (% of total),0,1,14.08317,0,0,0,0,0,0,0,0,0,13.95883,0,0,0,0,0,0,0,0,0,0,0
BGR,Bulgaria,EN.POP.EL5M.ZS,Population below 5m (% of total),0,1,1.452436,0,0,0,0,0,0,0,0,0,1.527417,0,0,0,0,0,0,0,0,0,0,0
BHR,Bahrain,EN.POP.EL5M.ZS,Population below 5m (% of total),0,1,70.48661,0,0,0,0,0,0,0,0,0,66.63535,0,0,0,0,0,0,0,0,0,0,0
BHS,"Bahamas, The",EN.POP.EL5M.ZS,Population below 5m (% of total),0,1,48.88346,0,0,0,0,0,0,0,0,0,46.53529,0,0,0,0,0,0,0,0,0,0,0
BIH,Bosnia and Herzegovina,EN.POP.EL5M.ZS,Population below 5m (% of total),0,1,0.08228393,0,0,0,0,0,0,0,0,0,0.07920434,0,0,0,0,0,0,0,0,0,0,0
BLR,Belarus,EN.POP.EL5M.ZS,Population below 5m (% of total),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLZ,Belize,EN.POP.EL5M.ZS,Population below 5m (% of total),0,1,16.90529,0,0,0,0,0,0,0,0,0,15.78399,0,0,0,0,0,0,0,0,0,0,0
BMU,Bermuda,EN.POP.EL5M.ZS,Population below 5m (% of total),0,1,82.26369,0,0,0,0,0,0,0,0,0,82.26369,0,0,0,0,0,0,0,0,0,0,0
BOL,Bolivia,EN.POP.EL5M.ZS,Population below 5m (% of total),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRA,Brazil,EN.POP.EL5M.ZS,Population below 5m (% of total),0,1,4.745497,0,0,0,0,0,0,0,0,0,4.878794,0,0,0,0,0,0,0,0,0,0,0
BRB,Barbados,EN.POP.EL5M.ZS,Population below 5m (% of total),0,1,15.69373,0,0,0,0,0,0,0,0,0,15.69373,0,0,0,0,0,0,0,0,0,0,0
BRN,Brunei Darussalam,EN.POP.EL5M.ZS,Population below 5m (% of total),0,1,8.85752,0,0,0,0,0,0,0,0,0,9.240206,0,0,0,0,0,0,0,0,0,0,0
BTN,Bhutan,EN.POP.EL5M.ZS,Population below 5m (% of total),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,Botswana,EN.POP.EL5M.ZS,Population below 5m (% of total),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAF,Central African Republic,EN.POP.EL5M.ZS,Population below 5m (% of total),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAN,Canada,EN.POP.EL5M.ZS,Population below 5m (% of total),0,1,3.943848,0,0,0,0,0,0,0,0,0,3.99087,0,0,0,0,0,0,0,0,0,0,0
CHE,Switzerland,EN.POP.EL5M.ZS,Population below 5m (% of total),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHI,Channel Islands,EN.POP.EL5M.ZS,Population below 5m (% of total),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHL,Chile,EN.POP.EL5M.ZS,Population below 5m (% of total),0,1,1.706311,0,0,0,0,0,0,0,0,0,1.609674,0,0,0,0,0,0,0,0,0,0,0
CHN,China,EN.POP.EL5M.ZS,Population below 5m (% of total),0,1,7.635574,0,0,0,0,0,0,0,0,0,8.059189,0,0,0,0,0,0,0,0,0,0,0
