Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,EN.URB.MCTY.TL.ZS,Population in urban agglomerations >1million (%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADO,Andorra,EN.URB.MCTY.TL.ZS,Population in urban agglomerations >1million (%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,EN.URB.MCTY.TL.ZS,Population in urban agglomerations >1million (%),0,0,6.7393960305678,7.04178330977261,7.39039278750727,7.32230698124104,7.2550931398576,7.18849539610911,7.15555697942371,7.12229360281819,7.0894200009501,7.05670127807918,7.56597417911587,8.13694046298145,8.75221564561201,9.41401287671631,9.84723184140213,10.0104724378148,10.1796711348972,10.3491667721381,10.5177875258555,10.6852349879319,10.8515474991154,0
AGO,Angola,EN.URB.MCTY.TL.ZS,Population in urban agglomerations >1million (%),0,0,15.1710605810208,15.2907279897761,15.6606297788494,16.0257392221954,16.0659407849469,16.1344242780215,16.237409884182,16.8164879997142,17.4213414023846,18.0240127446282,18.6077738977694,19.1613166971592,19.6998295688908,20.240723328225,20.8122909285062,21.4283855906303,22.1008295765065,22.824058406309,23.5713409783942,24.3096849574902,25.0097264886244,0
ALB,Albania,EN.URB.MCTY.TL.ZS,Population in urban agglomerations >1million (%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,United Arab Emirates,EN.URB.MCTY.TL.ZS,Population in urban agglomerations >1million (%),0,0,26.1356863326186,26.3772036200422,26.6568855987429,26.9649300750717,27.3043645711113,27.6663491643102,28.0373793999393,28.388656805572,28.7615265050189,29.2426264343098,29.8556679416553,30.7365436395042,31.7934329249689,32.5240615955676,32.3263100861062,31.0598083378939,28.9762559600303,26.0567443665676,23.6329643350337,21.8800184181305,20.8591941360732,0
ARG,Argentina,EN.URB.MCTY.TL.ZS,Population in urban agglomerations >1million (%),0,0,39.2043922449184,39.119646140419,39.0421348250119,38.9756675843574,38.9208192873797,38.8763844435085,38.8419279298933,38.8167144333396,38.8065197933883,38.8158363028036,38.8482604003081,38.9029860933358,38.9791312928635,39.0623456054118,39.1368818859127,39.191235509036,39.2206765862415,39.2250917278995,39.204560533841,39.1603812745445,39.0931604714358,0
ARM,Armenia,EN.URB.MCTY.TL.ZS,Population in urban agglomerations >1million (%),0,0,33.1346984719419,33.258173073227,33.6698899111289,34.2748710602654,34.9127498829979,35.4458169015439,35.8165743801197,36.0436080228758,36.1414441023305,36.1569378869769,36.1269699469913,36.0485157266758,36.0448170523546,36.0449121302875,36.0147481953313,35.9988440792001,36.006422476191,36.0087776223976,36.0046338411354,35.9869548544739,35.9520735610296,0
ASM,American Samoa,EN.URB.MCTY.TL.ZS,Population in urban agglomerations >1million (%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,EN.URB.MCTY.TL.ZS,Population in urban agglomerations >1million (%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
