Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,SI.POV.DDAY,Population living below $1.25 a day (% of total),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADO,Andorra,SI.POV.DDAY,Population living below $1.25 a day (% of total),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,SI.POV.DDAY,Population living below $1.25 a day (% of total),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,Angola,SI.POV.DDAY,Population living below $1.25 a day (% of total),0,1,0,0,0,0,0,0,0,0,0,0,54.31,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,SI.POV.DDAY,Population living below $1.25 a day (% of total),0,1,0,0,0,0,0,0,0,0.2,0,0,0,0,0.57,0,0.53,0.85,0,0,0.62,0,0,0
ARE,United Arab Emirates,SI.POV.DDAY,Population living below $1.25 a day (% of total),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG,Argentina,SI.POV.DDAY,Population living below $1.25 a day (% of total),0,1,0,0,0.13,0,0,0,1.57,0,1.78,0,0,0,9.92,0,6.62,0,0,0,0,0.87,0,0
ARM,Armenia,SI.POV.DDAY,Population living below $1.25 a day (% of total),0,1,0,0,0,0,0,0,17.5,0,0,18.03,0,10.99,14.97,10.63,0,0,0,0,1.28,0,0,0
ASM,American Samoa,SI.POV.DDAY,Population living below $1.25 a day (% of total),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,SI.POV.DDAY,Population living below $1.25 a day (% of total),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,SI.POV.DDAY,Population living below $1.25 a day (% of total),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,Austria,SI.POV.DDAY,Population living below $1.25 a day (% of total),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZE,Azerbaijan,SI.POV.DDAY,Population living below $1.25 a day (% of total),0,1,0,0,0,0,0,16.26,0,0,0,0,0,6.32,0,0,0,0.03,0,0,1.04,0,0,0
BDI,Burundi,SI.POV.DDAY,Population living below $1.25 a day (% of total),0,1,0,0,84.24,0,0,0,0,0,86.43,0,0,0,0,0,0,0,81.32,0,0,0,0,0
BEL,Belgium,SI.POV.DDAY,Population living below $1.25 a day (% of total),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEN,Benin,SI.POV.DDAY,Population living below $1.25 a day (% of total),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47.33,0,0,0,0,0,0,0,0
BFA,Burkina Faso,SI.POV.DDAY,Population living below $1.25 a day (% of total),0,1,0,0,0,0,71.17,0,0,0,70.03,0,0,0,0,56.54,0,0,0,0,0,0,0,0
BGD,Bangladesh,SI.POV.DDAY,Population living below $1.25 a day (% of total),0,1,0,0,66.77,0,0,0,59.35,0,0,0,57.82,0,0,0,0,49.64,0,0,0,0,0,0
BGR,Bulgaria,SI.POV.DDAY,Population living below $1.25 a day (% of total),0,1,0,0,0,0,0.22,2.02,0,0.32,0,0,0,2.64,0,0,0,0,0,1.04,0,0,0,0
BHR,Bahrain,SI.POV.DDAY,Population living below $1.25 a day (% of total),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHS,"Bahamas, The",SI.POV.DDAY,Population living below $1.25 a day (% of total),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIH,Bosnia and Herzegovina,SI.POV.DDAY,Population living below $1.25 a day (% of total),0,1,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0.16,0,0,0.04,0,0,0,0
BLR,Belarus,SI.POV.DDAY,Population living below $1.25 a day (% of total),0,1,0,0,0,0.02,0,0.36,0,2.66,0.93,0,0.33,0.46,0.3,0,0.18,0.18,0,0,0.1,0,0,0
BLZ,Belize,SI.POV.DDAY,Population living below $1.25 a day (% of total),0,1,0,0,0,0,0,14.03,0,0,0,12.36,0,0,0,0,0,0,0,0,0,0,0,0
BMU,Bermuda,SI.POV.DDAY,Population living below $1.25 a day (% of total),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOL,Bolivia,SI.POV.DDAY,Population living below $1.25 a day (% of total),0,1,0,4.03,0,0,0,0,0,18.54,0,26.27,0,0,22.81,0,0,19.62,0,13.64,0,0,0,0
BRA,Brazil,SI.POV.DDAY,Population living below $1.25 a day (% of total),0,1,15.49,0,13.29,12.97,0,10.51,11.43,11.98,11.03,11.15,0,10.96,9.81,10.43,11.68,7.76,0,0,4.25,3.8,0,0
BRB,Barbados,SI.POV.DDAY,Population living below $1.25 a day (% of total),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN,Brunei Darussalam,SI.POV.DDAY,Population living below $1.25 a day (% of total),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTN,Bhutan,SI.POV.DDAY,Population living below $1.25 a day (% of total),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26.23,0,0,0,0,0,0,0,0
