Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,SE.PRM.CMPT.ZS,"Primary completion rate, total (% of relevant age group)",0,0,0,0,0,0,0,0,0,0,0,103.29154,99.61449,98.03774,99.2674,94.68839,95.20876,92.54328,96.40992,96.63866,94.6417,94.80519,0,0
ADO,Andorra,SE.PRM.CMPT.ZS,"Primary completion rate, total (% of relevant age group)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.2994,103.0303,101.24138,0,0,0,0,0,0,0
AFG,Afghanistan,SE.PRM.CMPT.ZS,"Primary completion rate, total (% of relevant age group)",0,0,0,0,0,28.49606,0,0,0,0,0,0,0,0,0,0,0,38.82625,0,0,0,0,0,0
AGO,Angola,SE.PRM.CMPT.ZS,"Primary completion rate, total (% of relevant age group)",0,0,0,33.00903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,SE.PRM.CMPT.ZS,"Primary completion rate, total (% of relevant age group)",0,0,0,0,0,0,0,0,93.43178,0,0,104.07734,101.69497,101.12788,98.1445,96.98364,94.5393,0,0,0,0,89.625470000000007,0,0
ARE,United Arab Emirates,SE.PRM.CMPT.ZS,"Primary completion rate, total (% of relevant age group)",0,0,96.77825,103.41157,102.01061,99.30319,98.41121,95.99852,89.19847,85.985,81.31784,80.6938,80.1001,79.60997,79.94514,85.88421,91.88312,98.04566,101.89617,104.95858,0,98.8581,0,0
ARG,Argentina,SE.PRM.CMPT.ZS,"Primary completion rate, total (% of relevant age group)",0,0,0,0,0,0,100.21659,0,95.66794,94.7722,102.79847,100.7241,100.20397,99.62725,103.62759,101.7269,100.50083,98.27388,100.08025,102.44285,105.40755,0,0,0
ARM,Armenia,SE.PRM.CMPT.ZS,"Primary completion rate, total (% of relevant age group)",0,0,0,0,0,0,105.49139,0,0,96.17703,0,0,0,0,93.73525,89.98377,101.4093,93.43613,92.95038,97.92742,0,0,0,0
ASM,American Samoa,SE.PRM.CMPT.ZS,"Primary completion rate, total (% of relevant age group)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,SE.PRM.CMPT.ZS,"Primary completion rate, total (% of relevant age group)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.57376,94.53755,0,0
AUS,Australia,SE.PRM.CMPT.ZS,"Primary completion rate, total (% of relevant age group)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
