Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADO,Andorra,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,8.8,8.2,7.6,7.2,6.7,6.3,6,5.7,5.4,5.1,4.9,4.7,4.5,4.3,4.1,4.1,4,3.9,3.9,3.8,3.8,0
AFG,Afghanistan,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,208.7,197.6,186.9,176,167.7,158.9,153.4,152.4,151.4,150.8,151.1,150.4,149.6,150.6,150.1,150.5,150.5,150.2,149.6,149.4,149.2,0
AGO,Angola,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,243,239.1,235.3,231.1,226.3,221.5,217,212.4,207.9,203.3,199.6,195.1,190.7,187.5,183.2,179.1,174.9,171.1,168.2,164.3,160.5,0
ALB,Albania,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,41.1,39.8,38.6,37.3,36.2,35.1,34,32.4,31.1,29.8,28.6,27.4,26.1,25.2,24.1,22.8,22,21,19.9,19.3,18.4,0
ARE,United Arab Emirates,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,21.5,20.5,19.4,18.3,17.4,16.3,15.5,14.6,13.8,13.1,12.4,11.7,11.1,10.5,9.9,9.4,8.9,8.4,7.9,7.5,7.1,0
ARG,Argentina,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,26.9,25.8,24.9,24.2,23.4,22.7,22,21.2,20.6,20,19.6,19,18.4,17.7,17.1,16.6,15.9,15.3,14.8,14.2,13.8,0
ARM,Armenia,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,54.5,52.5,50.5,48.2,46,43.4,41.3,39.1,37.3,35.3,33.3,31.8,30.1,28.5,26.8,25.6,24.3,22.9,21.7,20.6,19.6,0
ASM,American Samoa,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,26.2,24.8,23.8,22.4,21.1,19.7,18.7,17.7,16.6,15.7,14.9,14,13.2,12.4,11.5,11,10.3,9.6,9,8.5,8.1,0
AUS,Australia,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,9.1,8.6,8.2,7.8,7.4,7.1,6.9,6.7,6.5,6.4,6.2,6.1,6,5.9,5.7,5.6,5.5,5.3,5.2,5,4.9,0
AUT,Austria,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,9.4,8.9,8.4,7.9,7.4,6.9,6.5,6.2,5.9,5.7,5.6,5.4,5.3,5.2,5,4.9,4.7,4.6,4.5,4.4,4.2,0
AZE,Azerbaijan,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,92.9,91.1,89.4,87.8,84.7,81.7,78.7,75.7,72.7,70.3,67.4,65,62.6,60.4,58,55.6,53.7,51.5,49.8,48.1,45.9,0
BDI,Burundi,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,183.2,182.6,181.8,180.6,178.1,175.8,173.3,170.6,168.4,165.7,163.8,161.5,158.7,157.7,155.5,153.9,150.5,148.4,145.3,143.1,141.9,0
BEL,Belgium,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,10,9.6,9.1,8.6,8.1,7.6,7.1,6.7,6.4,6.1,5.8,5.6,5.4,5.2,5.1,5,4.8,4.7,4.6,4.5,4.4,0
BEN,Benin,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,177.7,173.9,170.2,166.7,163,159.8,156.3,153.1,149.7,146.6,143.4,140.3,137.4,134.4,131.5,128.6,125.9,123.2,120.8,118.1,115.4,0
BFA,Burkina Faso,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,204.5,203.7,202.4,201.2,199.7,198.3,196.5,195.3,193.7,192.1,190.8,189.2,187.6,186.2,184.7,183.5,181.7,180.9,179.6,178,176.2,0
BGD,Bangladesh,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,143.4,137.9,132.1,125.6,119.5,113.9,107.3,101.5,96.3,91.2,85.7,80.6,76.1,72,67.9,64.2,60.4,57.1,53.9,50.7,47.8,0
BGR,Bulgaria,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,22.2,22.3,22.5,22.8,23,22.9,22.7,22.4,22,21.4,20.7,19.8,18.9,17.9,16.9,16,15.3,14.6,13.9,13.3,12.7,0
BHR,Bahrain,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,17,16.2,15.6,15,14.5,14,13.7,13.2,12.8,12.5,12.2,12,11.7,11.5,11.3,11.1,10.9,10.7,10.5,10.4,10.2,0
BHS,"Bahamas, The",SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,22,21.2,20.2,19.2,18.5,17.7,17.3,17.2,17.1,16.9,16.8,16.8,16.6,16.5,16.4,16.4,16.4,16.3,16.3,16.2,16.1,0
BIH,Bosnia and Herzegovina,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,18.8,17.6,16.4,15.4,14.3,13.3,12.4,11.7,10.9,10.1,9.6,9.3,9,8.8,8.8,8.7,8.7,8.6,8.6,8.4,8.4,0
BLR,Belarus,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,17.2,17,17,16.9,16.9,16.8,16.5,16.1,15.4,14.6,13.7,12.8,11.9,11,10.1,9.3,8.5,7.8,7.2,6.6,6,0
BLZ,Belize,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,44,42,39.9,38,36.2,34.5,32.8,31.3,29.9,28.4,27,25.6,24.4,23.3,22.2,21.3,20,19.2,18.2,17.4,16.5,0
BMU,Bermuda,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOL,Bolivia,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,120.8,116.7,112.9,109.2,105.3,101.1,97,93.1,89.2,85.6,82.2,78.8,75.8,72.6,69.8,66.7,63.9,61.5,59,56.7,54.2,0
BRA,Brazil,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,59.3,57.1,54.7,52.7,50.3,48.1,45.5,42.7,40.2,37.8,35.7,33.6,31.6,29.7,28,26.3,24.8,23.4,22,20.6,19.4,0
BRB,Barbados,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,17.9,17.3,16.8,16.8,16.6,16.5,16.5,16.7,16.8,17,17.1,17.2,17.6,17.6,17.9,18.1,18.4,18.7,18.9,19.2,19.6,0
BRN,Brunei Darussalam,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,12.2,11.8,11.4,11,10.7,10.4,10.2,9.9,9.7,9.5,9.3,9.1,8.8,8.6,8.4,8.2,8,7.9,7.7,7.5,7.3,0
BTN,Bhutan,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,138.5,132.6,127,121.8,116.4,111.4,106.6,101.8,97.4,93.3,89,85.2,81.4,77.6,74.4,70.8,67.5,64.5,61.7,58.9,56.1,0
BWA,Botswana,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,58.7,60.6,63.2,66.6,70.9,76.1,81.7,87.2,91.9,94.9,95.9,95.4,93.1,87.9,70.4,60.9,54.9,52.4,51.8,49.4,47.7,0
CAF,Central African Republic,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,165.2,166.7,169,171.6,174,175.9,177,177.4,177.4,176.7,175.9,174.6,173.2,171.7,170.1,168.3,166.5,164.1,162.3,160.5,158.8,0
CAN,Canada,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,8.3,8,7.7,7.5,7.2,7,6.8,6.6,6.4,6.3,6.2,6.2,6.2,6.1,6.1,6.1,6,6,6,5.9,5.9,0
CHE,Switzerland,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,8.1,7.8,7.4,7.1,6.7,6.4,6.2,6,5.9,5.8,5.7,5.6,5.5,5.3,5.2,5.1,5,4.8,4.7,4.7,4.6,0
CHI,Channel Islands,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHL,Chile,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,18.7,17.5,16.4,15.3,14.4,13.6,12.9,12.3,11.8,11.3,10.8,10.4,10.1,9.7,9.5,9.3,9.2,9.1,9,8.9,8.8,0
CHN,China,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,48.3,47.4,46.5,45.6,44.3,42.5,40.5,38.5,36.6,34.7,33,31.2,29.5,27.9,26.4,24.9,23.5,22.2,20.9,19.6,18.4,0
CIV,Cote d'Ivoire,SH.DYN.MORT,"Under-five mortality rate (per 1,000)",0,0,151.4,152.7,154.2,154.5,154.5,154.2,153.7,152.8,151.4,149.7,147.7,145.4,142.7,140.3,137.8,135.4,132.8,130.4,127.7,125.3,123,0
