Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,SP.URB.TOTL,Urban population,0,0,31259.941,32321,33938.142,35851.062,37690.142,39197.624,40188.7822,40843.2156,41277.5558,41673.8704,42156.557,43115.0484,44138.4936,45182.5,46175.2452,47064.136,47924.9526,48693.92,49365.0628,49937.0608,50411.872,0
ADO,Andorra,SP.URB.TOTL,Urban population,0,0,49976.031,51971.22,54474.281,57090.47,59261.229,60622.963,60948.1088,60478.479,59697.3832,59288.501,59721.816,61065.522,63215.7708,65805.8142,68304.9024,70332.864,71758.8016,72746.382,73427.4684,74020.6742,74680.32,0
AFG,Afghanistan,SP.URB.TOTL,Urban population,0,0,3481333.074,3658398.71332705,3843470.04505842,4036886.41786363,4239000.98966939,4450181.274,4649393.12141141,4856440.56941343,5071611.2453743,5295202.88978013,5527523.7015,5771984.40785827,6025936.244663,6289722.99012337,6563700.34756863,6848236.34707143,7158986.776122,7481844.03487033,7817244.57904108,8165639.87395169,8527496.89457131,0
AGO,Angola,SP.URB.TOTL,Urban population,0,0,3834304.292,4099472.572,4385759.926,4689709.7,5004849.552,5326246.2,5603726.25,5884429.02,6174984.55,6485556,6823922.77,7194122,7594141.74,8018370.36,8457453.8,8904071.34,9338690.934,9779154.786,10227525.588,10687746.24,11162918.52,0
ALB,Albania,SP.URB.TOTL,Urban population,0,0,1197371.812,1214635.455,1221851.642,1222237.479,1220905.728,1221888.678,1228230.7762,1237379.1804,1249473.2146,1264119.065,1280963.952,1302346.3696,1326750.6732,1353278.9556,1380563.5898,1407526.4,1434362.2208,1460581.632,1486348.6784,1512073.6128,1538056.32,0
ARE,United Arab Emirates,SP.URB.TOTL,Urban population,0,0,1430635.822,1507987.5552,1587509.679,1669356.7072,1753782.492,1841254.576,1936633.8924,2041234.376,2150389.8588,2257372.0096,2360055.998,2449634.432,2530847.7216,2643905.5266,2843030.2424,3161884.173,3625737.2928,4206592.0062,4833717.9924,5408112.411,5859118.2,0
ARG,Argentina,SP.URB.TOTL,Urban population,0,0,28398924.54,28903931.8986,29407892.1664,29910987.207,30413823.0272,30916526.92,31398473.1474,31879145.6254,32354958.4468,32821152.2478,33274568.809,33706192.0176,34125081.508,34535536.9088,34943785.0692,35354593.036,35745846.6,36139884.588,36537154.16,36937597.34,37341035.424,0
ARM,Armenia,SP.URB.TOTL,Urban population,0,0,2392669.125,2362205.5026,2312149.788,2250735.0894,2189525.316,2136963.699,2095545.411,2063349.0552,2038948.4358,2019413.7216,2002539.798,1989710.69,1980510.349,1974057.33,1969259.516,1965276.514,1965314.1288,1965631.3314,1966304.9582,1967599.6062,1969649.864,0
ASM,American Samoa,SP.URB.TOTL,Urban population,0,0,38065.068,39583.1556,41039.0368,42439.1554,43801.317,45139.907,46354.86,47541.078,48721.13,49923.627,51171,52359.269,53598.926,54878.922,56178.868,57484.306,58690.838,59906.574,61131.5344,62371.2992,63630.6,0
ATG,Antigua and Barbuda,SP.URB.TOTL,Urban population,0,0,22019.508,22039.2048,22228.6168,22546.2528,22931.606,23338.28,23685.29,24039.8328,24378.834,24679.928,24927.576,25190.303,25391.9078,25544.4216,25663.2124,25762.212,26012.3024,26244.549,26463.9526,26674.2476,26879.13,0
